# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "--fraction" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "dfir_regions.gff" "-o" "counts/regions_dfir.txt" "star_map_dfir/Dfir-0h-A.bam" "star_map_dfir/Dfir-0h-B.bam" "star_map_dfir/Dfir-0h-C.bam" "star_map_dfir/Dfir-16h-A.bam" "star_map_dfir/Dfir-16h-B.bam" "star_map_dfir/Dfir-16h-C.bam" "star_map_dfir/Dfir-24h-A.bam" "star_map_dfir/Dfir-24h-B.bam" "star_map_dfir/Dfir-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir/Dfir-0h-A.bam	star_map_dfir/Dfir-0h-B.bam	star_map_dfir/Dfir-0h-C.bam	star_map_dfir/Dfir-16h-A.bam	star_map_dfir/Dfir-16h-B.bam	star_map_dfir/Dfir-16h-C.bam	star_map_dfir/Dfir-24h-A.bam	star_map_dfir/Dfir-24h-B.bam	star_map_dfir/Dfir-24h-C.bam
contig_31_np1212:130001..132500	contig_31_np1212	130001	132500	+	2500	2259.55	1465.50	1118.50	4432.50	1284	2532.75	5330	4119.50	2218.50
contig_31_np1212:132501..135000	contig_31_np1212	132501	135000	+	2500	1592.75	218	817	2526	1108	626.25	2540	839.50	794.50
contig_31_np1212:135001..137500	contig_31_np1212	135001	137500	+	2500	476.25	468.50	807.50	780	145.50	362.50	575	364	673.50
contig_31_np1212:137501..140000	contig_31_np1212	137501	140000	+	2500	299.50	386.25	265	441.50	322.50	260.50	241	294	474.50
contig_31_np1212:140001..142500	contig_31_np1212	140001	142500	+	2500	15075.00	9349.85	10847.00	342	158	510	968	882	7066.12
contig_31_np1212:142501..145000	contig_31_np1212	142501	145000	+	2500	0	0.73	0	0	0	0	0	0	1.16
contig_31_np1212:145001..147500	contig_31_np1212	145001	147500	+	2500	6	4.67	4	11	11	5.67	12	1.33	7.83
contig_31_np1212:147501..150000	contig_31_np1212	147501	150000	+	2500	0	0.83	0	0	0	0	0	0	1.32
contig_31_np1212:150001..152500	contig_31_np1212	150001	152500	+	2500	0	1.53	0	0	0	0	0	0	5.49
contig_31_np1212:152501..155000	contig_31_np1212	152501	155000	+	2500	4751.50	8449.50	3700.50	287.50	445	357	851.50	420.50	6604
contig_31_np1212:155001..157500	contig_31_np1212	155001	157500	+	2500	12935	9133	5004.50	8272.50	5541	5213.50	5276	6082	5951
contig_31_np1212:157501..160000	contig_31_np1212	157501	160000	+	2500	10567.50	5154.25	7176.50	4996	3053.25	3380.50	4045.25	3620.00	4065
contig_31_np1212:160001..162500	contig_31_np1212	160001	162500	+	2500	165.50	1109	640.50	2304	2996.75	4342.50	2818.25	1443.50	3029.00
contig_31_np1212:162501..165000	contig_31_np1212	162501	165000	+	2500	6265.50	3315	4016.50	3434	2847.50	3354	4003.67	2161	4035.50
contig_31_np1212:165001..167500	contig_31_np1212	165001	167500	+	2500	2461	1104.50	1732	831	216	471.50	1023	668	992.50
contig_31_np1212:167501..170000	contig_31_np1212	167501	170000	+	2500	477	373	341	258.50	235	220	214.50	345	414
contig_31_np1212:170001..172500	contig_31_np1212	170001	172500	+	2500	36	5	3	267	91	351.50	308	1364	144
contig_31_np1212:172501..175000	contig_31_np1212	172501	175000	+	2500	0	0	0.25	1.50	0	10.50	12	11	6
contig_31_np1212:175001..177500	contig_31_np1212	175001	177500	+	2500	8421.50	18459.17	33393.12	35144.50	41322	14826.44	24394	7751.50	28367.37
contig_31_np1212:177501..180000	contig_31_np1212	177501	180000	+	2500	6207.97	15038.38	26001.41	26746.17	33262.17	11231.44	19491.64	5897.72	22558.47
contig_31_np1212:180001..182500	contig_31_np1212	180001	182500	+	2500	1728.08	333.00	917.79	1050	713.50	557.50	1078.83	605.50	473.67
contig_31_np1212:182501..185000	contig_31_np1212	182501	185000	+	2500	8795.50	1556	4526.50	4927.00	3248.50	2980.00	5512.50	2601.50	2381
contig_31_np1212:185001..187500	contig_31_np1212	185001	187500	+	2500	2770	320	1528	364	280	120.50	176	134	132
contig_31_np1212:187501..190000	contig_31_np1212	187501	190000	+	2500	7186.50	6111	5579	2764.17	3865	868	1650.50	1266.50	6135
contig_31_np1212:190001..192500	contig_31_np1212	190001	192500	+	2500	4384	213	1331	8957.50	2024.50	2875.50	10429	3538	1431
contig_31_np1212:192501..195000	contig_31_np1212	192501	195000	+	2500	9114.50	457	3397	21556.83	5796	6452	23885	7373.50	2770.50
contig_31_np1212:195001..197500	contig_31_np1212	195001	197500	+	2500	82	32	34	148.50	38	181.50	155	86	81.50
contig_31_np1212:197501..200000	contig_31_np1212	197501	200000	+	2500	1039.50	372.50	418.50	3285.50	5094.50	4079.00	2405	1202.50	543.50
contig_31_np1212:200001..202500	contig_31_np1212	200001	202500	+	2500	198.50	281.50	208.50	698.50	352.50	89	192.50	85	335
contig_31_np1212:202501..205000	contig_31_np1212	202501	205000	+	2500	3511	189.00	893.00	11958	2016.50	2009	4772	1535.50	1439.50
contig_31_np1212:205001..207500	contig_31_np1212	205001	207500	+	2500	575	987.50	481.50	1262.50	980.50	784	990.50	696	1503
contig_31_np1212:207501..210000	contig_31_np1212	207501	210000	+	2500	205.50	158.50	241	734.00	213.50	492.00	879.50	421	350.00
contig_31_np1212:210001..212500	contig_31_np1212	210001	212500	+	2500	126.73	84.60	169.29	3141.62	2519.37	4589.75	2682.59	2459.76	1545.87
contig_31_np1212:212501..215000	contig_31_np1212	212501	215000	+	2500	27.50	24	36.50	1335.12	685	2471.17	1198.75	1021	895.50
contig_31_np1212:215001..217500	contig_31_np1212	215001	217500	+	2500	34.50	1057.50	420.83	122	757	437.00	152.50	165.50	1060.50
contig_31_np1212:217501..220000	contig_31_np1212	217501	220000	+	2500	1.17	63.50	28.50	59.50	148.50	222.00	360	188.75	104
contig_31_np1212:220001..222500	contig_31_np1212	220001	222500	+	2500	70	141	146.17	2722	258.50	492.67	770.25	1428.50	354.83
contig_31_np1212:222501..225000	contig_31_np1212	222501	225000	+	2500	7509.00	872.50	2312.67	13763.00	29062.50	10188.22	11541.75	6884.25	2070.00
contig_31_np1212:225001..227500	contig_31_np1212	225001	227500	+	2500	14692.50	708.50	3299.50	24749.00	51809.50	17450.00	21289.67	14769.75	3344.50
contig_31_np1212:227501..230000	contig_31_np1212	227501	230000	+	2500	137	2270	208	1676.50	2904	1534.50	1421	700.50	3921.50
contig_31_np1212:230001..232500	contig_31_np1212	230001	232500	+	2500	277.33	736.54	314.67	1289.67	2211.08	1411.58	1337.47	832.79	1936.67
contig_31_np1212:232501..235000	contig_31_np1212	232501	235000	+	2500	167.50	22.77	90	260	132.50	221.50	229	207	210.25
contig_31_np1212:235001..237500	contig_31_np1212	235001	237500	+	2500	0	0.44	0	0	0	0	0	0	4.91
contig_31_np1212:237501..240000	contig_31_np1212	237501	240000	+	2500	8190.50	5375.20	4823.50	164.50	210.50	241	772	178	4867.45
contig_31_np1212:240001..242500	contig_31_np1212	240001	242500	+	2500	426.50	163	262.50	82	71.50	64.50	50	41	247.50
contig_31_np1212:242501..245000	contig_31_np1212	242501	245000	+	2500	3117	2577	1770	10213.50	17583	10356	14472	6126	4756.50
contig_31_np1212:245001..247500	contig_31_np1212	245001	247500	+	2500	536	2919	1016.50	5003	8601.50	7984.50	4058.50	6566	7993
contig_31_np1212:247501..250000	contig_31_np1212	247501	250000	+	2500	61	1682	403.50	1312	3575.50	4416	1453.50	2390.00	4331
contig_31_np1212:250001..252500	contig_31_np1212	250001	252500	+	2500	703.50	519	350.50	597.50	529.50	571.50	591	573	860
contig_31_np1212:252501..255000	contig_31_np1212	252501	255000	+	2500	760.36	288.19	627.94	401.35	369.31	290.18	305.32	283.74	552.19
contig_31_np1212:255001..257500	contig_31_np1212	255001	257500	+	2500	133.50	23.00	125.50	100.67	59.00	109.50	165.50	96.50	147.00
contig_31_np1212:257501..260000	contig_31_np1212	257501	260000	+	2500	448.50	241.00	244.00	293.33	373.00	511.50	442.00	462.00	529.50
contig_31_np1212:260001..262500	contig_31_np1212	260001	262500	+	2500	944.58	265	212.33	76.92	44.50	110.75	155.50	32.50	808.08
contig_31_np1212:262501..265000	contig_31_np1212	262501	265000	+	2500	406.39	32.39	233.86	461.88	2090.59	197.28	160.96	244.26	132.50
contig_31_np1212:265001..267500	contig_31_np1212	265001	267500	+	2500	278	613	495	279.50	65.50	170.50	227.50	188	692.75
contig_31_np1212:267501..270000	contig_31_np1212	267501	270000	+	2500	732.50	1501.50	1123.50	362	126	174	259	177	1279.25
contig_31_np1212:270001..272500	contig_31_np1212	270001	272500	+	2500	1256	9291.50	1807.50	4262.83	8637.50	3891	1723	1805	10659.50
contig_31_np1212:272501..275000	contig_31_np1212	272501	275000	+	2500	4822	121747.50	203353.75	4852.67	9060.50	6327	7763	3603.89	99765.50
contig_31_np1212:275001..277500	contig_31_np1212	275001	277500	+	2500	25462.00	23599	38641.25	5044.50	3809.50	1719.50	1619.50	1054.39	19260.25
contig_31_np1212:277501..280000	contig_31_np1212	277501	280000	+	2500	188.50	1555	843	380.50	2685.50	3904.50	1602	2329.72	5184.75
contig_31_np1212:280001..282500	contig_31_np1212	280001	282500	+	2500	102	591	247	189	475.50	734.50	423	480.50	1603.50
contig_31_np1212:282501..285000	contig_31_np1212	282501	285000	+	2500	21.33	344.93	90.33	103.26	303.33	223.78	102.50	68.40	667.32
contig_31_np1212:285001..287500	contig_31_np1212	285001	287500	+	2500	98	25.50	24	452	505	560	456	517	152.50
contig_31_np1212:287501..290000	contig_31_np1212	287501	290000	+	2500	2	1	0	131	4	98.50	121	194	65.50
contig_31_np1212:290001..292500	contig_31_np1212	290001	292500	+	2500	48	357.50	172	128	1744.17	2460.50	651.50	1263.75	1806.00
contig_31_np1212:292501..295000	contig_31_np1212	292501	295000	+	2500	472	5146.50	2191.50	2479.50	30558.33	32321.47	12897.67	16082.00	24955.02
contig_31_np1212:295001..297500	contig_31_np1212	295001	297500	+	2500	130	146	100	145.50	653.50	848.50	405.50	435	642
contig_31_np1212:297501..300000	contig_31_np1212	297501	300000	+	2500	537	208	526	132.50	164.50	96.20	71.83	113	215
contig_31_np1212:300001..302500	contig_31_np1212	300001	302500	+	2500	19229	8721	13603.50	129.50	59.50	189	816.50	397	518
contig_31_np1212:302501..305000	contig_31_np1212	302501	305000	+	2500	808	101	499	728.50	642	486	927	640.50	365.50
contig_31_np1212:305001..307500	contig_31_np1212	305001	307500	+	2500	307.22	126.00	172.29	140.50	123	110.22	150.67	51.50	346.67
contig_31_np1212:307501..310000	contig_31_np1212	307501	310000	+	2500	2431.86	2381.50	2846.06	33.33	19.50	37.05	98.50	15.83	1683.96
contig_31_np1212:310001..312500	contig_31_np1212	310001	312500	+	2500	403.90	231.21	378.10	90.36	100.96	62.91	50.61	39.61	332.75
contig_31_np1212:312501..315000	contig_31_np1212	312501	315000	+	2500	486.50	326.50	781.50	254.50	218	168	215.50	181	425.00
contig_31_np1212:315001..317500	contig_31_np1212	315001	317500	+	2500	211.50	322.50	238	238.50	82	104	222	274	435.50
contig_31_np1212:317501..320000	contig_31_np1212	317501	320000	+	2500	200	82.50	194.50	460	83	93	234	366	109
contig_31_np1212:320001..322500	contig_31_np1212	320001	322500	+	2500	294.00	1136.50	349.00	94	8	108.00	87.50	52	2195.50
contig_31_np1212:322501..325000	contig_31_np1212	322501	325000	+	2500	5626.00	753.00	2679.50	8606.67	4845	3270.50	7863	7518	3369
contig_31_np1212:325001..327500	contig_31_np1212	325001	327500	+	2500	4942.50	603.50	2363.50	7890.50	4685.50	2896.50	7443	6868.50	3091
contig_31_np1212:327501..330000	contig_31_np1212	327501	330000	+	2500	13508.50	2981.50	8911.50	2765.83	1922.50	1210	1947	1235.50	1727
contig_31_np1212:330001..332500	contig_31_np1212	330001	332500	+	2500	36525	7521.50	11926.50	2382	2984	2114.78	2788	1747	3317
contig_31_np1212:332501..335000	contig_31_np1212	332501	335000	+	2500	3395	2177.44	1540.70	5167	3226.89	5649.28	6153.50	5701.28	6461.46
contig_31_np1212:335001..337500	contig_31_np1212	335001	337500	+	2500	5	778.78	119.40	29.40	1476.72	3069.11	364.58	517.26	2995.92
contig_31_np1212:337501..340000	contig_31_np1212	337501	340000	+	2500	50	669.28	86.90	72	1102.39	2459.11	367.25	384.94	1954.52
contig_31_np1212:340001..342500	contig_31_np1212	340001	342500	+	2500	582	1084	2337.50	2972.50	5866	1422	1743	1576	2542
contig_31_np1212:342501..345000	contig_31_np1212	342501	345000	+	2500	3422	8989	17158.50	22711.50	35018.50	10193.50	13335.50	12366.00	19913.50
contig_31_np1212:345001..347500	contig_31_np1212	345001	347500	+	2500	3580	3152.50	2633.50	1116	680	867	1254.50	1175.50	2056
contig_31_np1212:347501..350000	contig_31_np1212	347501	350000	+	2500	136	1894	764.50	1074.50	2214.50	2459	1433	1088	3145.50
contig_31_np1212:350001..352500	contig_31_np1212	350001	352500	+	2500	2368	777.50	374.50	282.50	328.50	496.50	464.50	498	936.50
contig_31_np1212:352501..355000	contig_31_np1212	352501	355000	+	2500	16345.00	5153.50	9892.50	502	83.50	193.50	491	390.50	2601
contig_31_np1212:355001..357500	contig_31_np1212	355001	357500	+	2500	13	496	18	37.50	1978.50	2032.50	228.50	994.50	2274.07
contig_31_np1212:357501..360000	contig_31_np1212	357501	360000	+	2500	317.50	526.50	348	344.50	1154	1326.50	303.50	910.50	1886.93
contig_31_np1212:360001..362500	contig_31_np1212	360001	362500	+	2500	228.50	687.50	328.50	265	114.50	88	139.50	61.50	2510
contig_31_np1212:362501..365000	contig_31_np1212	362501	365000	+	2500	177	550.50	236	199.50	72	59.50	83	64.50	1988
contig_31_np1212:365001..367500	contig_31_np1212	365001	367500	+	2500	15271	18615.67	16239.50	1731.50	856	812	2133.50	1084	28313.50
contig_31_np1212:367501..370000	contig_31_np1212	367501	370000	+	2500	4869	6338.17	5854.00	926.50	3181.50	487	1177.50	511	10052
contig_31_np1212:370001..372500	contig_31_np1212	370001	372500	+	2500	777.50	290.67	312	421	1999	356.50	571	227	561
contig_31_np1212:372501..375000	contig_31_np1212	372501	375000	+	2500	3934	1916	2020	1704.17	394.50	1543	2288.50	693.50	2644.50
contig_31_np1212:375001..377500	contig_31_np1212	375001	377500	+	2500	186	72	142	14796.33	824.50	1364.50	3095	6805.50	545.50
contig_31_np1212:377501..380000	contig_31_np1212	377501	380000	+	2500	2157.04	1027	1795	296	260	286.50	380.50	173.50	1133.25
contig_31_np1212:380001..382500	contig_31_np1212	380001	382500	+	2500	2315.46	1345.28	1751.24	567.93	60.08	146.92	224.24	57.17	1652.53
contig_31_np1212:382501..385000	contig_31_np1212	382501	385000	+	2500	1362.69	406.53	1289.92	339.82	885.41	116.94	142.33	106.27	256.01
contig_31_np1212:385001..387500	contig_31_np1212	385001	387500	+	2500	116.50	113	135.40	150.50	67.50	158.50	74.50	137	180.50
contig_31_np1212:387501..390000	contig_31_np1212	387501	390000	+	2500	92	431.50	32	643	931	1663.50	297.50	493	1011
contig_31_np1212:390001..392500	contig_31_np1212	390001	392500	+	2500	148	58.50	28	215.75	442	844.45	200.50	251	131.00
contig_31_np1212:392501..395000	contig_31_np1212	392501	395000	+	2500	170.50	45	143	254.50	204.50	248.50	285.50	163	179
contig_31_np1212:395001..397500	contig_31_np1212	395001	397500	+	2500	447.50	79.50	161.50	812.75	1509	865	1153.00	640	525.50
contig_31_np1212:397501..400000	contig_31_np1212	397501	400000	+	2500	11	203.50	6	40.50	21	8.50	22.50	21	392.50
contig_31_np1212:400001..402500	contig_31_np1212	400001	402500	+	2500	301	516	173.50	269.50	39	304	317.50	137.50	673
contig_31_np1212:402501..405000	contig_31_np1212	402501	405000	+	2500	1295.83	734.00	906.33	5062	841.50	1920.00	5655.50	2897	1670.00
contig_31_np1212:405001..407500	contig_31_np1212	405001	407500	+	2500	430.50	835	390.67	3456.06	2294	3073.50	3041	1919.17	3352.00
contig_31_np1212:407501..410000	contig_31_np1212	407501	410000	+	2500	64	1032.50	212.00	2258.94	1516.50	3570.25	2165	2013.83	4732
contig_31_np1212:410001..412500	contig_31_np1212	410001	412500	+	2500	796.34	504.13	428.34	1058.50	844.68	1336.30	1051.10	786.10	1874.42
contig_31_np1212:412501..415000	contig_31_np1212	412501	415000	+	2500	1006	168	339	2166	2354	3123.75	2210	2304	417
contig_31_np1212:415001..417500	contig_31_np1212	415001	417500	+	2500	2	64	17.50	89	348	527.50	87.50	261.50	146.50
contig_31_np1212:417501..420000	contig_31_np1212	417501	420000	+	2500	19	130	33.50	332.50	206	778	220.50	386	198
contig_31_np1212:420001..422500	contig_31_np1212	420001	422500	+	2500	194	248	106	1715.50	1853.50	2422	1290.50	1472	522
contig_31_np1212:422501..425000	contig_31_np1212	422501	425000	+	2500	335	535.50	251	767	840.50	750.50	390.50	372.50	932
contig_31_np1212:425001..427500	contig_31_np1212	425001	427500	+	2500	232.89	327.04	341	235.54	266.16	263.44	243.89	215.64	546.54
contig_31_np1212:427501..430000	contig_31_np1212	427501	430000	+	2500	17794.30	3444.73	7794.07	10132.50	1229.50	593.50	455.67	534	16630.17
contig_31_np1212:430001..432500	contig_31_np1212	430001	432500	+	2500	31414	6182.50	19625.75	671	172.50	158	520.50	443.50	6369.00
contig_31_np1212:432501..435000	contig_31_np1212	432501	435000	+	2500	964	810	768	2063	1678.50	1871	2359.50	994	2144.50
contig_31_np1212:435001..437500	contig_31_np1212	435001	437500	+	2500	2344	894.50	1166.75	4832.50	11124.75	2537.50	2467.50	2500.50	1319
contig_31_np1212:437501..440000	contig_31_np1212	437501	440000	+	2500	12121.62	7229.50	7889.50	2209.50	3151.75	1058.50	1508.50	921.50	6373.50
contig_31_np1212:440001..442500	contig_31_np1212	440001	442500	+	2500	6880.62	3232.40	4488.25	4391.50	1411.50	4654.00	5911.50	3390.50	5980.00
contig_31_np1212:442501..445000	contig_31_np1212	442501	445000	+	2500	5076.25	18143.50	20313.50	2817	5601.25	4139.50	4033	3219	15276.00
contig_31_np1212:445001..447500	contig_31_np1212	445001	447500	+	2500	2621.50	10466.50	11541.75	17524.50	13798.58	8488.00	7402.50	11347.50	10945.50
contig_31_np1212:447501..450000	contig_31_np1212	447501	450000	+	2500	144.50	101	233.50	433.50	180.50	270	418.50	299.50	285.50
contig_31_np1212:450001..452500	contig_31_np1212	450001	452500	+	2500	39.75	54.50	37.50	48.50	37.67	42	46.50	55.47	70.75
contig_31_np1212:452501..455000	contig_31_np1212	452501	455000	+	2500	171.87	292.50	161.50	274.75	139.75	162.50	156.75	214.50	335.50
contig_31_np1212:455001..457500	contig_31_np1212	455001	457500	+	2500	87639.51	10711.23	45221.07	90306.75	119327.08	17534.50	20484.42	17977.50	30878.17
contig_31_np1212:457501..460000	contig_31_np1212	457501	460000	+	2500	68.50	506	175	183.50	115	217	200	138.50	811
contig_31_np1212:460001..462500	contig_31_np1212	460001	462500	+	2500	273	1177	427	680	609.67	668	760.50	414.50	1790
contig_31_np1212:462501..465000	contig_31_np1212	462501	465000	+	2500	428	308	456.50	587	679.50	240	343.50	225	518.50
contig_31_np1212:465001..467500	contig_31_np1212	465001	467500	+	2500	2658.25	482.50	1881	490.50	1365	449	1342.00	438	1020.50
contig_31_np1212:467501..470000	contig_31_np1212	467501	470000	+	2500	4529.00	606.50	3146.50	439	3834.50	567.50	2568.50	337	1268
contig_31_np1212:470001..472500	contig_31_np1212	470001	472500	+	2500	7.29	3.00	13.57	1.07	2	2.82	2.40	0.62	0.60
contig_31_np1212:472501..475000	contig_31_np1212	472501	475000	+	2500	21.44	113.92	79.33	96.29	6.83	74.36	107.06	235.32	204.67
contig_31_np1212:475001..477500	contig_31_np1212	475001	477500	+	2500	14	170	102	68	11.50	15	18	16	220.50
