# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "../../07_transcriptomics/dfir_regions.gff" "-o" "regions_gDNA_illumina.txt" "minimap_align_illumina_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	minimap_align_illumina_sort.bam
contig_31_np1212:155001..157500	contig_31_np1212	155001	157500	+	2500	6374
contig_31_np1212:157501..160000	contig_31_np1212	157501	160000	+	2500	7368
contig_31_np1212:160001..162500	contig_31_np1212	160001	162500	+	2500	7069.50
contig_31_np1212:162501..165000	contig_31_np1212	162501	165000	+	2500	7020.50
contig_31_np1212:165001..167500	contig_31_np1212	165001	167500	+	2500	7722
contig_31_np1212:167501..170000	contig_31_np1212	167501	170000	+	2500	6132.50
contig_31_np1212:170001..172500	contig_31_np1212	170001	172500	+	2500	6918
contig_31_np1212:172501..175000	contig_31_np1212	172501	175000	+	2500	7548.50
contig_31_np1212:175001..177500	contig_31_np1212	175001	177500	+	2500	6899.50
contig_31_np1212:177501..180000	contig_31_np1212	177501	180000	+	2500	7052
contig_31_np1212:180001..182500	contig_31_np1212	180001	182500	+	2500	7188
contig_31_np1212:182501..185000	contig_31_np1212	182501	185000	+	2500	7138
contig_31_np1212:185001..187500	contig_31_np1212	185001	187500	+	2500	6981.50
contig_31_np1212:187501..190000	contig_31_np1212	187501	190000	+	2500	6785
contig_31_np1212:190001..192500	contig_31_np1212	190001	192500	+	2500	7091.50
contig_31_np1212:192501..195000	contig_31_np1212	192501	195000	+	2500	6687
contig_31_np1212:195001..197500	contig_31_np1212	195001	197500	+	2500	5943
contig_31_np1212:197501..200000	contig_31_np1212	197501	200000	+	2500	7433.50
contig_31_np1212:200001..202500	contig_31_np1212	200001	202500	+	2500	6963
contig_31_np1212:202501..205000	contig_31_np1212	202501	205000	+	2500	6979
contig_31_np1212:205001..207500	contig_31_np1212	205001	207500	+	2500	7281
contig_31_np1212:207501..210000	contig_31_np1212	207501	210000	+	2500	6432.50
contig_31_np1212:210001..212500	contig_31_np1212	210001	212500	+	2500	6678
contig_31_np1212:212501..215000	contig_31_np1212	212501	215000	+	2500	6093
contig_31_np1212:215001..217500	contig_31_np1212	215001	217500	+	2500	6845.50
contig_31_np1212:217501..220000	contig_31_np1212	217501	220000	+	2500	6279.50
contig_31_np1212:220001..222500	contig_31_np1212	220001	222500	+	2500	6822.50
contig_31_np1212:222501..225000	contig_31_np1212	222501	225000	+	2500	7330.50
contig_31_np1212:225001..227500	contig_31_np1212	225001	227500	+	2500	7635.50
contig_31_np1212:227501..230000	contig_31_np1212	227501	230000	+	2500	7479.50
contig_31_np1212:230001..232500	contig_31_np1212	230001	232500	+	2500	7008.50
contig_31_np1212:232501..235000	contig_31_np1212	232501	235000	+	2500	6704
contig_31_np1212:235001..237500	contig_31_np1212	235001	237500	+	2500	7172
contig_31_np1212:237501..240000	contig_31_np1212	237501	240000	+	2500	6477.50
contig_31_np1212:240001..242500	contig_31_np1212	240001	242500	+	2500	7509
contig_31_np1212:242501..245000	contig_31_np1212	242501	245000	+	2500	7505.50
contig_31_np1212:245001..247500	contig_31_np1212	245001	247500	+	2500	6876
contig_31_np1212:247501..250000	contig_31_np1212	247501	250000	+	2500	7392
contig_31_np1212:250001..252500	contig_31_np1212	250001	252500	+	2500	7619.50
contig_31_np1212:252501..255000	contig_31_np1212	252501	255000	+	2500	6869
contig_31_np1212:255001..257500	contig_31_np1212	255001	257500	+	2500	7609.50
contig_31_np1212:257501..260000	contig_31_np1212	257501	260000	+	2500	7423.50
contig_31_np1212:260001..262500	contig_31_np1212	260001	262500	+	2500	7368.50
contig_31_np1212:262501..265000	contig_31_np1212	262501	265000	+	2500	6957.50
contig_31_np1212:265001..267500	contig_31_np1212	265001	267500	+	2500	7416.50
contig_31_np1212:267501..270000	contig_31_np1212	267501	270000	+	2500	7468
contig_31_np1212:270001..272500	contig_31_np1212	270001	272500	+	2500	7035
contig_31_np1212:272501..275000	contig_31_np1212	272501	275000	+	2500	7455
contig_31_np1212:275001..277500	contig_31_np1212	275001	277500	+	2500	6921
contig_31_np1212:277501..280000	contig_31_np1212	277501	280000	+	2500	7606.50
contig_31_np1212:280001..282500	contig_31_np1212	280001	282500	+	2500	7747.50
contig_31_np1212:282501..285000	contig_31_np1212	282501	285000	+	2500	7427
contig_31_np1212:285001..287500	contig_31_np1212	285001	287500	+	2500	7381.50
contig_31_np1212:287501..290000	contig_31_np1212	287501	290000	+	2500	6712.50
contig_31_np1212:290001..292500	contig_31_np1212	290001	292500	+	2500	7383
contig_31_np1212:292501..295000	contig_31_np1212	292501	295000	+	2500	6853.50
contig_31_np1212:295001..297500	contig_31_np1212	295001	297500	+	2500	8131
contig_31_np1212:297501..300000	contig_31_np1212	297501	300000	+	2500	6733
contig_31_np1212:300001..302500	contig_31_np1212	300001	302500	+	2500	7662.50
contig_31_np1212:302501..305000	contig_31_np1212	302501	305000	+	2500	7857.50
contig_31_np1212:305001..307500	contig_31_np1212	305001	307500	+	2500	7380
contig_31_np1212:307501..310000	contig_31_np1212	307501	310000	+	2500	7490.50
contig_31_np1212:310001..312500	contig_31_np1212	310001	312500	+	2500	6846.50
contig_31_np1212:312501..315000	contig_31_np1212	312501	315000	+	2500	7453.50
contig_31_np1212:315001..317500	contig_31_np1212	315001	317500	+	2500	7387.50
contig_31_np1212:317501..320000	contig_31_np1212	317501	320000	+	2500	7280
contig_31_np1212:320001..322500	contig_31_np1212	320001	322500	+	2500	6716.50
contig_31_np1212:322501..325000	contig_31_np1212	322501	325000	+	2500	7155
contig_31_np1212:325001..327500	contig_31_np1212	325001	327500	+	2500	7371
contig_31_np1212:327501..330000	contig_31_np1212	327501	330000	+	2500	7081
contig_31_np1212:330001..332500	contig_31_np1212	330001	332500	+	2500	7012
contig_31_np1212:332501..335000	contig_31_np1212	332501	335000	+	2500	7484
contig_31_np1212:335001..337500	contig_31_np1212	335001	337500	+	2500	6145.50
contig_31_np1212:337501..340000	contig_31_np1212	337501	340000	+	2500	6167.50
contig_31_np1212:340001..342500	contig_31_np1212	340001	342500	+	2500	6906
contig_31_np1212:342501..345000	contig_31_np1212	342501	345000	+	2500	6585.50
contig_31_np1212:345001..347500	contig_31_np1212	345001	347500	+	2500	7268.50
contig_31_np1212:347501..350000	contig_31_np1212	347501	350000	+	2500	7050.50
contig_31_np1212:350001..352500	contig_31_np1212	350001	352500	+	2500	6860.50
contig_31_np1212:352501..355000	contig_31_np1212	352501	355000	+	2500	8555.50
contig_31_np1212:355001..357500	contig_31_np1212	355001	357500	+	2500	6366
contig_31_np1212:357501..360000	contig_31_np1212	357501	360000	+	2500	7631
contig_31_np1212:360001..362500	contig_31_np1212	360001	362500	+	2500	7679
contig_31_np1212:362501..365000	contig_31_np1212	362501	365000	+	2500	7420
contig_31_np1212:365001..367500	contig_31_np1212	365001	367500	+	2500	7372
contig_31_np1212:367501..370000	contig_31_np1212	367501	370000	+	2500	7199.50
contig_31_np1212:370001..372500	contig_31_np1212	370001	372500	+	2500	7397
contig_31_np1212:372501..375000	contig_31_np1212	372501	375000	+	2500	6594.50
contig_31_np1212:375001..377500	contig_31_np1212	375001	377500	+	2500	7972
contig_31_np1212:377501..380000	contig_31_np1212	377501	380000	+	2500	7262
contig_31_np1212:380001..382500	contig_31_np1212	380001	382500	+	2500	6541
contig_31_np1212:382501..385000	contig_31_np1212	382501	385000	+	2500	6835
contig_31_np1212:385001..387500	contig_31_np1212	385001	387500	+	2500	7322.50
contig_31_np1212:387501..390000	contig_31_np1212	387501	390000	+	2500	7459.50
contig_31_np1212:390001..392500	contig_31_np1212	390001	392500	+	2500	6724
contig_31_np1212:392501..395000	contig_31_np1212	392501	395000	+	2500	7228
contig_31_np1212:395001..397500	contig_31_np1212	395001	397500	+	2500	7873.50
contig_31_np1212:397501..400000	contig_31_np1212	397501	400000	+	2500	7693
contig_31_np1212:400001..402500	contig_31_np1212	400001	402500	+	2500	7483
contig_31_np1212:402501..405000	contig_31_np1212	402501	405000	+	2500	7877
contig_31_np1212:405001..407500	contig_31_np1212	405001	407500	+	2500	7272
contig_31_np1212:407501..410000	contig_31_np1212	407501	410000	+	2500	7405.50
contig_31_np1212:410001..412500	contig_31_np1212	410001	412500	+	2500	7293
contig_31_np1212:412501..415000	contig_31_np1212	412501	415000	+	2500	6961
contig_31_np1212:415001..417500	contig_31_np1212	415001	417500	+	2500	7351
contig_31_np1212:417501..420000	contig_31_np1212	417501	420000	+	2500	7578.50
contig_31_np1212:420001..422500	contig_31_np1212	420001	422500	+	2500	7856.50
contig_31_np1212:422501..425000	contig_31_np1212	422501	425000	+	2500	7273
contig_31_np1212:425001..427500	contig_31_np1212	425001	427500	+	2500	7057.50
contig_31_np1212:427501..430000	contig_31_np1212	427501	430000	+	2500	7418
contig_31_np1212:430001..432500	contig_31_np1212	430001	432500	+	2500	7531
contig_31_np1212:432501..435000	contig_31_np1212	432501	435000	+	2500	7625
contig_31_np1212:435001..437500	contig_31_np1212	435001	437500	+	2500	7057
contig_31_np1212:437501..440000	contig_31_np1212	437501	440000	+	2500	7355.50
contig_31_np1212:440001..442500	contig_31_np1212	440001	442500	+	2500	7066.50
contig_31_np1212:442501..445000	contig_31_np1212	442501	445000	+	2500	7374
contig_31_np1212:445001..447500	contig_31_np1212	445001	447500	+	2500	7316.50
contig_31_np1212:447501..450000	contig_31_np1212	447501	450000	+	2500	7243
contig_31_np1212:450001..452500	contig_31_np1212	450001	452500	+	2500	8032
contig_31_np1212:452501..455000	contig_31_np1212	452501	455000	+	2500	7995
contig_31_np1212:455001..457500	contig_31_np1212	455001	457500	+	2500	6849
contig_31_np1212:457501..460000	contig_31_np1212	457501	460000	+	2500	7367.50
contig_31_np1212:460001..462500	contig_31_np1212	460001	462500	+	2500	7458
contig_31_np1212:462501..465000	contig_31_np1212	462501	465000	+	2500	7515
contig_31_np1212:465001..467500	contig_31_np1212	465001	467500	+	2500	7410
contig_31_np1212:467501..470000	contig_31_np1212	467501	470000	+	2500	7339.50
contig_31_np1212:470001..472500	contig_31_np1212	470001	472500	+	2500	6461.50
contig_31_np1212:472501..475000	contig_31_np1212	472501	475000	+	2500	7376.50
contig_31_np1212:475001..477500	contig_31_np1212	475001	477500	+	2500	7696
contig_31_np1212:477501..480000	contig_31_np1212	477501	480000	+	2500	6548
contig_31_np1212:480001..482500	contig_31_np1212	480001	482500	+	2500	6389.50
contig_31_np1212:482501..485000	contig_31_np1212	482501	485000	+	2500	7120.50
contig_31_np1212:485001..487500	contig_31_np1212	485001	487500	+	2500	7348.50
contig_31_np1212:487501..490000	contig_31_np1212	487501	490000	+	2500	7600
contig_31_np1212:490001..492500	contig_31_np1212	490001	492500	+	2500	7310.50
contig_31_np1212:492501..495000	contig_31_np1212	492501	495000	+	2500	6698
contig_31_np1212:495001..497500	contig_31_np1212	495001	497500	+	2500	6974.50
contig_31_np1212:497501..500000	contig_31_np1212	497501	500000	+	2500	6933
contig_31_np1212:500001..502500	contig_31_np1212	500001	502500	+	2500	7169.50
contig_31_np1212:502501..505000	contig_31_np1212	502501	505000	+	2500	7799
contig_31_np1212:505001..507500	contig_31_np1212	505001	507500	+	2500	6978
contig_31_np1212:507501..510000	contig_31_np1212	507501	510000	+	2500	7460
contig_31_np1212:510001..512500	contig_31_np1212	510001	512500	+	2500	7005.50
contig_31_np1212:512501..515000	contig_31_np1212	512501	515000	+	2500	6604
contig_31_np1212:515001..517500	contig_31_np1212	515001	517500	+	2500	7657.50
contig_31_np1212:517501..520000	contig_31_np1212	517501	520000	+	2500	7514
contig_31_np1212:520001..522500	contig_31_np1212	520001	522500	+	2500	7399
contig_31_np1212:522501..525000	contig_31_np1212	522501	525000	+	2500	7477.50
contig_31_np1212:525001..527500	contig_31_np1212	525001	527500	+	2500	7551.50
contig_31_np1212:527501..530000	contig_31_np1212	527501	530000	+	2500	7239
contig_31_np1212:530001..532500	contig_31_np1212	530001	532500	+	2500	6962
contig_31_np1212:532501..535000	contig_31_np1212	532501	535000	+	2500	7466
contig_31_np1212:535001..537500	contig_31_np1212	535001	537500	+	2500	7553.50
contig_31_np1212:537501..540000	contig_31_np1212	537501	540000	+	2500	7192.50
contig_31_np1212:540001..542500	contig_31_np1212	540001	542500	+	2500	7403.50
contig_31_np1212:542501..545000	contig_31_np1212	542501	545000	+	2500	6284
contig_31_np1212:545001..547500	contig_31_np1212	545001	547500	+	2500	6633.50
contig_31_np1212:547501..550000	contig_31_np1212	547501	550000	+	2500	7723
contig_31_np1212:550001..552500	contig_31_np1212	550001	552500	+	2500	7268
contig_31_np1212:552501..555000	contig_31_np1212	552501	555000	+	2500	7385
contig_31_np1212:555001..557500	contig_31_np1212	555001	557500	+	2500	7450
contig_31_np1212:557501..560000	contig_31_np1212	557501	560000	+	2500	7541.50
contig_31_np1212:560001..562500	contig_31_np1212	560001	562500	+	2500	7708
contig_31_np1212:562501..565000	contig_31_np1212	562501	565000	+	2500	6986.50
contig_31_np1212:565001..567500	contig_31_np1212	565001	567500	+	2500	7243
contig_31_np1212:567501..570000	contig_31_np1212	567501	570000	+	2500	6760.50
contig_31_np1212:570001..572500	contig_31_np1212	570001	572500	+	2500	7597.50
contig_31_np1212:572501..575000	contig_31_np1212	572501	575000	+	2500	7157.50
contig_31_np1212:575001..577500	contig_31_np1212	575001	577500	+	2500	6768
contig_31_np1212:577501..580000	contig_31_np1212	577501	580000	+	2500	7097.50
contig_31_np1212:580001..582500	contig_31_np1212	580001	582500	+	2500	7156
contig_31_np1212:582501..585000	contig_31_np1212	582501	585000	+	2500	7150
contig_31_np1212:585001..587500	contig_31_np1212	585001	587500	+	2500	7300.50
contig_31_np1212:587501..590000	contig_31_np1212	587501	590000	+	2500	7284
contig_31_np1212:590001..592500	contig_31_np1212	590001	592500	+	2500	6145
contig_31_np1212:592501..595000	contig_31_np1212	592501	595000	+	2500	7388
contig_31_np1212:595001..597500	contig_31_np1212	595001	597500	+	2500	7545.50
contig_31_np1212:597501..600000	contig_31_np1212	597501	600000	+	2500	6685.50
contig_31_np1212:600001..602500	contig_31_np1212	600001	602500	+	2500	7456.50
contig_31_np1212:602501..605000	contig_31_np1212	602501	605000	+	2500	7000
contig_31_np1212:605001..607500	contig_31_np1212	605001	607500	+	2500	5828
contig_31_np1212:607501..610000	contig_31_np1212	607501	610000	+	2500	7103.50
contig_31_np1212:610001..612500	contig_31_np1212	610001	612500	+	2500	6708.50
contig_31_np1212:612501..615000	contig_31_np1212	612501	615000	+	2500	7578
contig_31_np1212:615001..617500	contig_31_np1212	615001	617500	+	2500	7513
contig_31_np1212:617501..620000	contig_31_np1212	617501	620000	+	2500	7139
contig_31_np1212:620001..622500	contig_31_np1212	620001	622500	+	2500	7693.50
contig_31_np1212:622501..625000	contig_31_np1212	622501	625000	+	2500	7760.50
contig_31_np1212:625001..627500	contig_31_np1212	625001	627500	+	2500	7479
contig_31_np1212:627501..630000	contig_31_np1212	627501	630000	+	2500	7793.50
contig_31_np1212:630001..632500	contig_31_np1212	630001	632500	+	2500	7614
contig_31_np1212:632501..635000	contig_31_np1212	632501	635000	+	2500	7656.50
contig_31_np1212:635001..637500	contig_31_np1212	635001	637500	+	2500	6706
contig_31_np1212:637501..640000	contig_31_np1212	637501	640000	+	2500	7751
contig_31_np1212:640001..642500	contig_31_np1212	640001	642500	+	2500	7427.50
contig_31_np1212:642501..645000	contig_31_np1212	642501	645000	+	2500	7296.50
contig_31_np1212:645001..647500	contig_31_np1212	645001	647500	+	2500	7652
contig_31_np1212:647501..650000	contig_31_np1212	647501	650000	+	2500	7281.50
contig_31_np1212:650001..652500	contig_31_np1212	650001	652500	+	2500	6931
contig_31_np1212:652501..655000	contig_31_np1212	652501	655000	+	2500	7302.50
contig_31_np1212:655001..657500	contig_31_np1212	655001	657500	+	2500	7384
contig_31_np1212:657501..660000	contig_31_np1212	657501	660000	+	2500	7507.50
contig_31_np1212:660001..662500	contig_31_np1212	660001	662500	+	2500	7259.50
contig_31_np1212:662501..665000	contig_31_np1212	662501	665000	+	2500	6396.50
contig_31_np1212:665001..667500	contig_31_np1212	665001	667500	+	2500	7071.50
contig_31_np1212:667501..670000	contig_31_np1212	667501	670000	+	2500	7349
contig_31_np1212:670001..672500	contig_31_np1212	670001	672500	+	2500	6889.50
contig_31_np1212:672501..675000	contig_31_np1212	672501	675000	+	2500	7201.50
contig_31_np1212:675001..677500	contig_31_np1212	675001	677500	+	2500	6896.50
contig_31_np1212:677501..680000	contig_31_np1212	677501	680000	+	2500	6780
contig_31_np1212:680001..682500	contig_31_np1212	680001	682500	+	2500	7774
contig_31_np1212:682501..685000	contig_31_np1212	682501	685000	+	2500	7407
contig_31_np1212:685001..687500	contig_31_np1212	685001	687500	+	2500	7069.50
contig_31_np1212:687501..690000	contig_31_np1212	687501	690000	+	2500	7075
contig_31_np1212:690001..692500	contig_31_np1212	690001	692500	+	2500	5837
contig_31_np1212:692501..695000	contig_31_np1212	692501	695000	+	2500	6513
contig_31_np1212:695001..697500	contig_31_np1212	695001	697500	+	2500	6878.50
contig_31_np1212:697501..700000	contig_31_np1212	697501	700000	+	2500	7407
contig_31_np1212:700001..702500	contig_31_np1212	700001	702500	+	2500	7386
contig_31_np1212:702501..705000	contig_31_np1212	702501	705000	+	2500	6982.50
contig_31_np1212:705001..707500	contig_31_np1212	705001	707500	+	2500	7272.50
contig_31_np1212:707501..710000	contig_31_np1212	707501	710000	+	2500	7044.50
contig_31_np1212:710001..712500	contig_31_np1212	710001	712500	+	2500	6982.50
contig_31_np1212:712501..715000	contig_31_np1212	712501	715000	+	2500	7160
contig_31_np1212:715001..717500	contig_31_np1212	715001	717500	+	2500	7104
contig_31_np1212:717501..720000	contig_31_np1212	717501	720000	+	2500	6800
contig_31_np1212:720001..722500	contig_31_np1212	720001	722500	+	2500	7323.50
contig_31_np1212:722501..725000	contig_31_np1212	722501	725000	+	2500	6986.50
contig_31_np1212:725001..727500	contig_31_np1212	725001	727500	+	2500	7328.50
contig_31_np1212:727501..730000	contig_31_np1212	727501	730000	+	2500	7229.50
contig_31_np1212:730001..732500	contig_31_np1212	730001	732500	+	2500	7638.50
contig_31_np1212:732501..735000	contig_31_np1212	732501	735000	+	2500	7215
contig_31_np1212:735001..737500	contig_31_np1212	735001	737500	+	2500	7758.50
contig_31_np1212:737501..740000	contig_31_np1212	737501	740000	+	2500	7730.50
contig_31_np1212:740001..742500	contig_31_np1212	740001	742500	+	2500	7547.50
contig_31_np1212:742501..745000	contig_31_np1212	742501	745000	+	2500	7533
contig_31_np1212:745001..747500	contig_31_np1212	745001	747500	+	2500	6478
contig_31_np1212:747501..750000	contig_31_np1212	747501	750000	+	2500	6833.50
contig_31_np1212:750001..752500	contig_31_np1212	750001	752500	+	2500	7182.50
contig_31_np1212:752501..755000	contig_31_np1212	752501	755000	+	2500	7834
contig_31_np1212:755001..757500	contig_31_np1212	755001	757500	+	2500	7276.50
contig_31_np1212:757501..760000	contig_31_np1212	757501	760000	+	2500	7182
contig_31_np1212:760001..762500	contig_31_np1212	760001	762500	+	2500	6497.50
contig_31_np1212:762501..765000	contig_31_np1212	762501	765000	+	2500	5906
contig_31_np1212:765001..767500	contig_31_np1212	765001	767500	+	2500	6985
contig_31_np1212:767501..770000	contig_31_np1212	767501	770000	+	2500	6927
contig_31_np1212:770001..772500	contig_31_np1212	770001	772500	+	2500	7234.50
contig_31_np1212:772501..775000	contig_31_np1212	772501	775000	+	2500	7415.50
contig_31_np1212:775001..777500	contig_31_np1212	775001	777500	+	2500	6674.50
contig_31_np1212:777501..780000	contig_31_np1212	777501	780000	+	2500	7561.50
contig_31_np1212:780001..782500	contig_31_np1212	780001	782500	+	2500	7192.50
contig_31_np1212:782501..785000	contig_31_np1212	782501	785000	+	2500	7454.50
contig_31_np1212:785001..787500	contig_31_np1212	785001	787500	+	2500	7192.50
contig_31_np1212:787501..790000	contig_31_np1212	787501	790000	+	2500	7281
contig_31_np1212:790001..792500	contig_31_np1212	790001	792500	+	2500	7992.50
contig_31_np1212:792501..795000	contig_31_np1212	792501	795000	+	2500	6971.50
contig_31_np1212:795001..797500	contig_31_np1212	795001	797500	+	2500	7107
contig_31_np1212:797501..800000	contig_31_np1212	797501	800000	+	2500	7048
contig_31_np1212:800001..802500	contig_31_np1212	800001	802500	+	2500	7715
contig_31_np1212:802501..805000	contig_31_np1212	802501	805000	+	2500	7874
contig_31_np1212:805001..807500	contig_31_np1212	805001	807500	+	2500	6722.50
contig_31_np1212:807501..810000	contig_31_np1212	807501	810000	+	2500	7448.50
contig_31_np1212:810001..812500	contig_31_np1212	810001	812500	+	2500	6904
contig_31_np1212:812501..815000	contig_31_np1212	812501	815000	+	2500	7199
contig_31_np1212:815001..817500	contig_31_np1212	815001	817500	+	2500	7086
contig_31_np1212:817501..820000	contig_31_np1212	817501	820000	+	2500	7745.50
contig_31_np1212:820001..822500	contig_31_np1212	820001	822500	+	2500	6977.50
contig_31_np1212:822501..825000	contig_31_np1212	822501	825000	+	2500	7552.50
contig_31_np1212:825001..827500	contig_31_np1212	825001	827500	+	2500	7568
contig_31_np1212:827501..830000	contig_31_np1212	827501	830000	+	2500	7086
contig_31_np1212:830001..832500	contig_31_np1212	830001	832500	+	2500	7117
contig_31_np1212:832501..835000	contig_31_np1212	832501	835000	+	2500	6811
contig_31_np1212:835001..837500	contig_31_np1212	835001	837500	+	2500	6337
contig_31_np1212:837501..840000	contig_31_np1212	837501	840000	+	2500	6665.50
contig_31_np1212:840001..842500	contig_31_np1212	840001	842500	+	2500	7167.50
contig_31_np1212:842501..845000	contig_31_np1212	842501	845000	+	2500	7304.50
contig_31_np1212:845001..847500	contig_31_np1212	845001	847500	+	2500	7424
contig_31_np1212:847501..850000	contig_31_np1212	847501	850000	+	2500	7384.50
contig_31_np1212:850001..852500	contig_31_np1212	850001	852500	+	2500	7226
contig_31_np1212:852501..855000	contig_31_np1212	852501	855000	+	2500	7199
contig_31_np1212:855001..857500	contig_31_np1212	855001	857500	+	2500	7276.50
contig_31_np1212:857501..860000	contig_31_np1212	857501	860000	+	2500	7364.50
contig_31_np1212:860001..862500	contig_31_np1212	860001	862500	+	2500	7233.50
contig_31_np1212:862501..865000	contig_31_np1212	862501	865000	+	2500	7201.50
contig_31_np1212:865001..867500	contig_31_np1212	865001	867500	+	2500	7517
contig_31_np1212:867501..870000	contig_31_np1212	867501	870000	+	2500	6670
contig_31_np1212:870001..872500	contig_31_np1212	870001	872500	+	2500	7447
contig_31_np1212:872501..875000	contig_31_np1212	872501	875000	+	2500	7273.50
