Contig	Start	Stop	Illumina	Nanopore	mRNA
contig_57_np1212	75001	77500	451.5496	178.9188	71.828
contig_57_np1212	77501	80000	424.8284	175.93	117.472
contig_57_np1212	80001	82500	430.7696	175.1604	301.4324
contig_57_np1212	82501	85000	381.2068	177.5876	957.3888
contig_57_np1212	85001	87500	392.8884	163.9752	10417.252
contig_57_np1212	87501	90000	435.6264	161.5084	3638.1892
contig_57_np1212	90001	92500	353.8276	153.074	166.1656
contig_57_np1212	92501	95000	318.6956	140.9068	0.5496
contig_57_np1212	95001	97500	370.8292	143.448	7.7696
contig_57_np1212	97501	100000	420.3528	163.0864	175.0084
contig_57_np1212	100001	102500	410.0896	165.8608	179.6732
contig_57_np1212	102501	105000	420.3732	130.6928	9418.904
contig_57_np1212	105001	107500	457.6364	149.612	204.8268
contig_57_np1212	107501	110000	460.9516	167.3328	533.3956
contig_57_np1212	110001	112500	448.204	173.8628	617.1068
contig_57_np1212	112501	115000	463.9488	161.3716	326.9204
contig_57_np1212	115001	117500	419.7552	166.5416	1351.384
contig_57_np1212	117501	120000	451.3448	167.8432	508.2696
contig_57_np1212	120001	122500	445.0996	149.0076	3313.9644
contig_57_np1212	122501	125000	404.9352	159.664	331.0136
contig_57_np1212	125001	127500	445.3288	179.3204	576.1468
contig_57_np1212	127501	130000	449.04	181.7512	109.3188
contig_57_np1212	130001	132500	429.8392	174.7844	320.2604
contig_57_np1212	132501	135000	431.1096	172.8484	39.4816
contig_57_np1212	135001	137500	400.0616	182.974	37.8332
contig_57_np1212	137501	140000	448.5676	192.3648	387.3324
contig_57_np1212	140001	142500	434.3164	190.874	161.0752
contig_57_np1212	142501	145000	384.252	188.968	673.7736
contig_57_np1212	145001	147500	393.586	188.4408	92.4876
contig_57_np1212	147501	150000	447.3276	176.1644	431.56
contig_57_np1212	150001	152500	398.7144	172.6832	45.9988
contig_57_np1212	152501	155000	445.6764	192.3512	83.0532
contig_57_np1212	155001	157500	470.3528	195.9996	11.8388
contig_57_np1212	157501	160000	440.29	197.8372	9.3204
contig_57_np1212	160001	162500	410.7384	199.2184	29.4384
contig_57_np1212	162501	165000	443.4296	191.576	146.4384
contig_57_np1212	165001	167500	474.974	192.3832	129.7028
contig_57_np1212	167501	170000	352.8408	199.042	51057.2608
contig_57_np1212	170001	172500	402.4812	214.8756	2447.5948
contig_57_np1212	172501	175000	452.058	211.6692	164.2676
contig_57_np1212	175001	177500	419.6748	219.1684	473.2972
contig_57_np1212	177501	180000	461.8868	209.0752	35.8684
contig_57_np1212	180001	182500	459.5188	186.3424	2117.884
contig_57_np1212	182501	185000	425.5072	179.126	3072.308
contig_57_np1212	185001	187500	436.4148	179.5256	8611.3208
contig_57_np1212	187501	190000	387.2488	164.7684	576.3072
contig_57_np1212	190001	192500	450.5444	157.7208	2298.9748
contig_57_np1212	192501	195000	455.308	166.1628	530.4604
contig_57_np1212	195001	197500	390.5384	170.5468	56.398
contig_57_np1212	197501	200000	412.3644	173.1988	149.762
contig_57_np1212	200001	202500	445.4436	171.9544	307.8004
contig_57_np1212	202501	205000	391.5756	147.3952	157.7664
contig_57_np1212	205001	207500	455.3524	151.3864	692.582
contig_57_np1212	207501	210000	405.548	154.3056	217.4924
contig_57_np1212	210001	212500	321.8096	143.0272	129.8092
contig_57_np1212	212501	215000	411.3636	149.1712	41.1512
contig_57_np1212	215001	217500	405.0728	148.05	25.0592
contig_57_np1212	217501	220000	426.5692	135.2	563.2004
contig_57_np1212	220001	222500	412.9988	133.0868	7980.718
contig_57_np1212	222501	225000	405.4452	133.8308	1066.458
contig_57_np1212	225001	227500	459.7508	136.6836	405.4168
contig_57_np1212	227501	230000	490.1668	137.7896	33.9132
contig_57_np1212	230001	232500	433.39	125.8368	19.1472
contig_57_np1212	232501	235000	432.662	127.6868	6.5432
contig_57_np1212	235001	237500	454.4292	136.556	2.884
contig_57_np1212	237501	240000	409.3592	141.7696	2286.926
contig_57_np1212	240001	242500	432.4044	149.3148	2992.9684
contig_57_np1212	242501	245000	357.3028	151.4332	286.0216
contig_57_np1212	245001	247500	412.4728	165.3592	3676.3288
contig_57_np1212	247501	250000	452.4112	179.9388	946.7088
contig_57_np1212	250001	252500	472.3552	179.2052	2068.0424
contig_57_np1212	252501	255000	423.7944	173.1552	1519.1084
contig_57_np1212	255001	257500	425.7164	159.4196	335.3832
contig_57_np1212	257501	260000	482.9184	167.7212	7.8792
contig_57_np1212	260001	262500	474.2608	173.188	19.2908
contig_57_np1212	262501	265000	470.4952	160.7528	301.0832
contig_57_np1212	265001	267500	454.1712	161.6496	66.048
contig_57_np1212	267501	270000	471.4968	160.8588	21246.0512
contig_57_np1212	270001	272500	447.4292	171.2948	726.142
contig_57_np1212	272501	275000	436.402	188.8568	1291.7772
contig_57_np1212	275001	277500	410.226	181.4952	36.8524
contig_57_np1212	277501	280000	436.2128	169.0236	1769.1136
contig_57_np1212	280001	282500	428.698	171.9284	777.5888
contig_57_np1212	282501	285000	435.8704	181.9652	702.7748
contig_57_np1212	285001	287500	412.9488	191.2848	21.8716
contig_57_np1212	287501	290000	444.0364	206.9436	20.3352
contig_57_np1212	290001	292500	435.9376	203.9824	57.7156
contig_57_np1212	292501	295000	431.776	190.044	112.8588
contig_57_np1212	295001	297500	402.6112	185.1804	240.0984
contig_57_np1212	297501	300000	433.47	185.44	709.0012
contig_57_np1212	300001	302500	451.4492	188.8556	376.5988
contig_57_np1212	302501	305000	440.5	176.0596	29.6336
contig_57_np1212	305001	307500	411.9948	179.4532	47.6484
contig_57_np1212	307501	310000	425.1644	171.1772	150.0876
contig_57_np1212	310001	312500	429.1324	165.1104	63.22
contig_57_np1212	312501	315000	358.4248	175.8456	92.2572
contig_57_np1212	315001	317500	424.3936	153.5956	768.234
contig_57_np1212	317501	320000	409.1268	151.356	35.6992
contig_57_np1212	320001	322500	427.5944	159.876	214.4908
contig_57_np1212	322501	325000	444.0476	168.7432	107.1224
contig_57_np1212	325001	327500	409.0908	163.9716	94.8512
contig_57_np1212	327501	330000	400.1392	165.9664	349.9936
contig_57_np1212	330001	332500	391.6436	150.1264	753.9192
contig_57_np1212	332501	335000	387.7768	144.9252	217.2128
contig_57_np1212	335001	337500	420.2148	142.2332	159.0508
contig_57_np1212	337501	340000	355.5508	144.8876	530.4664
contig_57_np1212	340001	342500	365.036	141.7752	896.3428
contig_57_np1212	342501	345000	421.5304	144.8092	60.7972
contig_57_np1212	345001	347500	429.4052	150.3112	469.7996
contig_57_np1212	347501	350000	407.9996	164.908	1605.482
contig_57_np1212	350001	352500	444.3644	168.8648	488.608
contig_57_np1212	352501	355000	419.0676	159.4476	89.2384
contig_57_np1212	355001	357500	379.1332	152.5012	184.6396
contig_57_np1212	357501	360000	431.7228	153.7668	305.0052
contig_57_np1212	360001	362500	402.0244	156.6128	1777.152
contig_57_np1212	362501	365000	390.4148	157.6472	939.5988
contig_57_np1212	365001	367500	420.8496	153.9068	388.1224
contig_57_np1212	367501	370000	394.2532	143.8404	425.4424
contig_57_np1212	370001	372500	310.3808	154.0324	73.4236
contig_57_np1212	372501	375000	407.8284	157.072	18.1172
contig_57_np1212	375001	377500	460.8124	153.5028	123.1424
contig_57_np1212	377501	380000	441.2172	165.408	235.114
contig_57_np1212	380001	382500	459.066	162.8272	40.8636
contig_57_np1212	382501	385000	464.0092	159.3504	622.2064
contig_57_np1212	385001	387500	348.1968	173.3952	116.7352
contig_57_np1212	387501	390000	351.3668	184.072	139.832
contig_57_np1212	390001	392500	408.226	179.8776	64.6036
contig_57_np1212	392501	395000	439.6096	179.7756	260.9788
contig_57_np1212	395001	397500	431.7888	179.5444	570.734
contig_57_np1212	397501	400000	389.2872	167.6812	80.0908
contig_57_np1212	400001	402500	434.3052	170.9156	591.5828
contig_57_np1212	402501	405000	384.2456	166.3688	682.0808
contig_57_np1212	405001	407500	438.5716	171.194	634.5332
contig_57_np1212	407501	410000	390.6588	168.2628	115.3076
contig_57_np1212	410001	412500	408.4664	154.8648	105.1532
contig_57_np1212	412501	415000	443.9236	150.7392	762.4736
contig_57_np1212	415001	417500	489.2844	139.9036	2.32
contig_57_np1212	417501	420000	445.942	145.6712	42.908
contig_57_np1212	420001	422500	481.31	138.4596	23.3548
contig_57_np1212	422501	425000	443.1628	140.754	198.0476
contig_57_np1212	425001	427500	444.9872	173.0108	2897.41
contig_57_np1212	427501	430000	438.772	166.8744	649.284
contig_57_np1212	430001	432500	409.686	171.9372	210.1412
contig_57_np1212	432501	435000	442.8688	175.762	9995.0944
contig_57_np1212	435001	437500	427.5216	173.7544	5048.3672
contig_57_np1212	437501	440000	423.286	171.3864	521.578
contig_57_np1212	440001	442500	379.7224	190.3696	170.696
contig_57_np1212	442501	445000	447.0768	196.4104	665.8804
contig_57_np1212	445001	447500	431.1928	175.258	316.322
contig_57_np1212	447501	450000	431.558	177.6388	2094.3604
contig_57_np1212	450001	452500	398.8908	177.0872	1002.3076
contig_57_np1212	452501	455000	435.4064	171.4316	6507.9016
contig_57_np1212	455001	457500	412.4336	163.0272	2261.4644
contig_57_np1212	457501	460000	456.096	164.14	36.7456
contig_57_np1212	460001	462500	445.4652	172.1288	124.8408
contig_57_np1212	462501	465000	446.9084	176.3976	296.3036
contig_57_np1212	465001	467500	413.6736	160.8288	755.6472
contig_57_np1212	467501	470000	416.6896	154.9156	767.08
contig_57_np1212	470001	472500	453.0208	159.8196	72.6048
contig_57_np1212	472501	475000	438.7996	160.8556	51.7164
contig_57_np1212	475001	477500	454.856	158.1516	139.5244
contig_57_np1212	477501	480000	443.7916	162.8684	1279.634
contig_57_np1212	480001	482500	440.3432	171.7388	1077.6612
contig_57_np1212	482501	485000	402.6872	158.3944	5.2096
contig_57_np1212	485001	487500	441.7424	159.9744	891.7048
contig_57_np1212	487501	490000	447.4832	163.91	559.532
contig_57_np1212	490001	492500	441.4584	176.0056	2092.4056
contig_57_np1212	492501	495000	398.5364	178.8452	212.406
contig_57_np1212	495001	497500	440.5776	176.2392	117.0844
contig_57_np1212	497501	500000	457.4668	171.9556	4334.8652
contig_57_np1212	500001	502500	408.8428	152.7208	2658.8476
contig_57_np1212	502501	505000	429.7048	167.9268	974.3264
contig_57_np1212	505001	507500	413.026	181.0196	795.0384
contig_57_np1212	507501	510000	431.5108	188.086	130.302
contig_57_np1212	510001	512500	431.5284	180.9456	97.2488
contig_57_np1212	512501	515000	404.014	172.1336	179.7088
contig_57_np1212	515001	517500	381.9032	181.7964	95.5092
contig_57_np1212	517501	520000	405.2424	172.6292	958.3428
contig_57_np1212	520001	522500	388.3624	184.9468	281.2332
contig_57_np1212	522501	525000	446.2848	177.5384	82.396
contig_57_np1212	525001	527500	452.7196	162.8148	532.4328
contig_57_np1212	527501	530000	434.7036	159.9156	1359.6244
contig_57_np1212	530001	532500	411.9856	169.806	438.2388
contig_57_np1212	532501	535000	429.636	180.2488	945.362
contig_57_np1212	535001	537500	459.2744	181.758	439.7016
contig_57_np1212	537501	540000	407.4812	164.6384	13.1992
contig_57_np1212	540001	542500	426.1612	163.5976	76.4448
contig_57_np1212	542501	545000	427.102	179.39	393.9604
contig_57_np1212	545001	547500	434.4304	171.718	140.1288
contig_57_np1212	547501	550000	438.0904	179.4412	196.8308
contig_57_np1212	550001	552500	425.652	175.2736	25842.9108
contig_57_np1212	552501	555000	432.6768	172.75	7850.2708
contig_57_np1212	555001	557500	408.95	181.4912	13197.644
contig_57_np1212	557501	560000	448.6848	168.6832	5577.5888
contig_57_np1212	560001	562500	422.5376	156.07	552.0084
contig_57_np1212	562501	565000	442.3404	133.8528	4126.2064
contig_57_np1212	565001	567500	447.6868	150.4044	2185.4564
contig_57_np1212	567501	570000	380.5028	157.7824	124.3084
contig_57_np1212	570001	572500	413.3764	165.0584	355.4204
contig_57_np1212	572501	575000	451.8716	165.0644	12.5452
contig_57_np1212	575001	577500	468.3644	157.57	1477.6692
contig_57_np1212	577501	580000	443.75	163.1064	664.586
contig_57_np1212	580001	582500	447.6948	177.0024	143.218
contig_57_np1212	582501	585000	495.0232	179.0688	36.0168
contig_57_np1212	585001	587500	437.7508	180.148	725.1228
contig_57_np1212	587501	590000	460.826	179.3916	191.5576
contig_57_np1212	590001	592500	400.7228	181.8152	80.9836
contig_57_np1212	592501	595000	432.238	184.7352	498.6044
contig_57_np1212	595001	597500	420.414	184.8692	308.6392
contig_57_np1212	597501	600000	427.1368	178.7756	570.3488
contig_57_np1212	600001	602500	440.9816	169.1968	775.724
contig_57_np1212	602501	605000	428.8932	179.1404	1296.8052
contig_57_np1212	605001	607500	374.5552	176.7148	114.8292
contig_57_np1212	607501	610000	450.2908	182.8268	882.88
contig_57_np1212	610001	612500	475.2364	173.334	1754.6796
contig_57_np1212	612501	615000	377.4656	164.27	1171.046
contig_57_np1212	615001	617500	421.4444	153.4752	1539.864
contig_57_np1212	617501	620000	454.4696	149.0032	15.4044
contig_57_np1212	620001	622500	433.5472	145.0648	144.1232
contig_57_np1212	622501	625000	398.2676	141.9336	1211.3128
contig_57_np1212	625001	627500	461.8304	157.1904	386.4584
contig_57_np1212	627501	630000	369.7016	152.0024	182.7484
contig_57_np1212	630001	632500	444.9056	157.0024	520.6208
contig_57_np1212	632501	635000	410.7808	152.872	147.6992
contig_57_np1212	635001	637500	333.6228	144.2312	403.7596
contig_57_np1212	637501	640000	419.436	151.5816	249.3216
contig_57_np1212	640001	642500	446.2184	150.9428	32.5544
contig_57_np1212	642501	645000	408.2076	154.6252	950.9452
contig_57_np1212	645001	647500	462.4628	174.6276	307.0188
contig_57_np1212	647501	650000	429.2464	183.002	478.408
contig_57_np1212	650001	652500	416.2244	156.014	819.7532
contig_57_np1212	652501	655000	436.9644	165.022	138.0272
contig_57_np1212	655001	657500	430.5424	163.3528	1121.3748
contig_57_np1212	657501	660000	429.6092	154.5196	1477.7316
contig_57_np1212	660001	662500	455.348	161.2556	641.3232
contig_57_np1212	662501	665000	415.398	154.196	74.9564
contig_57_np1212	665001	667500	375.044	150.502	631.8828
contig_57_np1212	667501	670000	438.1164	152.9908	1567.1056
contig_57_np1212	670001	672500	457.4392	168.4312	2227.5936
contig_57_np1212	672501	675000	422.378	178.7232	2203.0852
contig_57_np1212	675001	677500	469.5168	174.2024	137.4872
contig_57_np1212	677501	680000	351.8592	186.322	98.7684
contig_57_np1212	680001	682500	414.7904	192.2344	748.0508
contig_57_np1212	682501	685000	434.9988	198.0696	542.0528
contig_57_np1212	685001	687500	448.7852	182.9532	750.6392
contig_57_np1212	687501	690000	444.4632	176.6708	199.064
contig_57_np1212	690001	692500	433.5784	126.9956	4600.3432
contig_57_np1212	692501	695000	422.0952	134.0032	2043.2476
contig_57_np1212	695001	697500	437.1344	141.386	564.8444
contig_57_np1212	697501	700000	452.4892	136.892	57.028
contig_57_np1212	700001	702500	414.9132	155.5916	420.7024
contig_57_np1212	702501	705000	419.7664	169.1072	162.3428
contig_57_np1212	705001	707500	444.8928	174.4136	63.2364
contig_57_np1212	707501	710000	471.4452	158.7632	28.1668
contig_57_np1212	710001	712500	452.1852	149.3888	148.2644
contig_57_np1212	712501	715000	442.1248	180.36	261.114
contig_57_np1212	715001	717500	404.924	180.4968	294.824
contig_57_np1212	717501	720000	469.1808	139.872	397.1896
contig_57_np1212	720001	722500	424.9956	134.4996	11.55
contig_57_np1212	722501	725000	434.2448	172.7696	1906.9796
contig_57_np1212	725001	727500	443.172	169.1776	4453.1364
contig_57_np1212	727501	730000	443.2316	116.9276	1075.4944
contig_57_np1212	730001	732500	442.6784	105.9288	419.4096
contig_57_np1212	732501	735000	382.22	126.7568	462.4568
contig_57_np1212	735001	737500	471.2788	137.2052	517.4132
contig_57_np1212	737501	740000	416.208	147.9644	16690.9628
contig_57_np1212	740001	742500	399.7508	160.1952	2498.0904
contig_57_np1212	742501	745000	453.4484	173.5	1146.806
contig_57_np1212	745001	747500	410.1316	168.566	76.6304
contig_57_np1212	747501	750000	290.6028	178.2028	91.5212
contig_57_np1212	750001	752500	406.8912	165.0504	507.0984
contig_57_np1212	752501	755000	449.2512	165.176	5788.5748
contig_57_np1212	755001	757500	459.2096	176.16	2079.0228
contig_57_np1212	757501	760000	471.224	186.3604	176.9056
contig_57_np1212	760001	762500	458.2252	187.2764	13741.094
contig_57_np1212	762501	765000	457.5868	181.7524	90.216
contig_57_np1212	765001	767500	429.7664	187.5676	301.2224
contig_57_np1212	767501	770000	397.1048	178.4808	97.0016
contig_57_np1212	770001	772500	418.7904	175.9784	714.6352
contig_57_np1212	772501	775000	410.2744	165.3336	25.4392
contig_57_np1212	775001	777500	316.1564	162.3104	13.0328
contig_57_np1212	777501	780000	432.7644	168.1392	1305.4668
contig_57_np1212	780001	782500	447.4968	171.5164	1412.4896
contig_57_np1212	782501	785000	441.1168	152.494	9.4732
contig_57_np1212	785001	787500	417.0176	146.5292	8.4284
contig_57_np1212	787501	790000	427.5512	154.8236	851.2328
contig_57_np1212	790001	792500	435.362	152.396	970.9656
contig_57_np1212	792501	795000	450.2112	155.198	487.098
contig_57_np1212	795001	797500	442.8732	164.1208	961.868
contig_57_np1212	797501	800000	389.476	157.9052	14.3208
contig_57_np1212	800001	802500	363.5128	168.3484	4.6436
contig_57_np1212	802501	805000	425.1956	170.8316	445.9072
contig_57_np1212	805001	807500	452.3308	167.8924	746.2832
contig_57_np1212	807501	810000	371.0396	168.744	23.5088
contig_57_np1212	810001	812500	426.774	187.6464	2737.1608
contig_57_np1212	812501	815000	404.9128	201.6488	109.6312
contig_57_np1212	815001	817500	447.3772	189.388	736.8604
contig_57_np1212	817501	820000	423.7216	175.91	342.0692
contig_57_np1212	820001	822500	461.9684	161.7424	196.0172
contig_57_np1212	822501	825000	428.396	155.5124	467.4384
contig_57_np1212	825001	827500	447.1884	140.4484	170.6036
contig_57_np1212	827501	830000	437.2308	136.1384	353.8352
contig_57_np1212	830001	832500	417.3732	133.4288	25.0612
contig_57_np1212	832501	835000	389.2208	124.8244	97.5076
contig_57_np1212	835001	837500	383.346	124.674	10.0012
contig_57_np1212	837501	840000	449.3564	138.2348	57.0196
contig_57_np1212	840001	842500	363.2168	141.882	128.9648
contig_57_np1212	842501	845000	441.92	143.1756	128.09
contig_57_np1212	845001	847500	420.6976	146.074	2139.702
contig_57_np1212	847501	850000	430.4136	129.9316	4983.4192
contig_57_np1212	850001	852500	431.854	117.6108	3933.4824
contig_57_np1212	852501	855000	429.7916	149.3912	604.5528
contig_57_np1212	855001	857500	434.3604	149.6596	1438.5732
contig_57_np1212	857501	860000	447.59	136.5364	1072.3868
contig_57_np1212	860001	862500	422.3748	126.1056	7174.9776
contig_57_np1212	862501	865000	432.6972	119.0104	8238.5876
contig_57_np1212	865001	867500	423.704	134.5332	19734.3032
contig_57_np1212	867501	870000	407.6288	175.652	9991.46
contig_57_np1212	870001	872500	421.5176	183.0676	2346.3992
contig_57_np1212	872501	875000	341.0132	175.468	348.3916
contig_57_np1212	875001	877500	454.2892	154.6632	763.664
contig_57_np1212	877501	880000	402.066	154.1332	1241.7996
contig_57_np1212	880001	882500	401.9168	152.5236	16.384
contig_57_np1212	882501	885000	316.8532	144.0988	2950.6448
contig_57_np1212	885001	887500	351.582	155.6792	1066.1904
contig_57_np1212	887501	890000	371.2432	151.526	53.0368
contig_57_np1212	890001	892500	419.0236	145.392	238.9524
contig_57_np1212	892501	895000	414.5308	157.8656	5324.3984
contig_57_np1212	895001	897500	371.9048	146.7776	693.95
contig_57_np1212	897501	900000	347.35	157.202	63.7356
contig_57_np1212	900001	902500	330.3776	160.8336	37.8992
contig_57_np1212	902501	905000	413.0	155.6584	129.4012
contig_57_np1212	905001	907500	430.4128	143.6648	1813.3576
contig_57_np1212	907501	910000	394.4788	148.2444	1678.6156
contig_57_np1212	910001	912500	432.1652	146.4504	255.8228
contig_57_np1212	912501	915000	449.3548	158.6416	299.6224
contig_57_np1212	915001	917500	395.4644	159.8316	5591.9336
contig_57_np1212	917501	920000	418.3468	161.5488	18235.0664
contig_57_np1212	920001	922500	450.398	171.4832	1374.8832
contig_57_np1212	922501	925000	459.9784	177.4824	1659.4876
contig_57_np1212	925001	927500	437.144	179.33	674.1596
contig_57_np1212	927501	930000	336.1676	172.58	303.1264
contig_57_np1212	930001	932500	389.054	166.4712	16577.738
contig_57_np1212	932501	935000	391.9628	167.9792	414.706
contig_57_np1212	935001	937500	417.5724	165.8276	210.0396
contig_57_np1212	937501	940000	419.5728	162.966	2851.2812
contig_57_np1212	940001	942500	418.2848	180.4116	361.1964
contig_57_np1212	942501	945000	416.2776	187.4564	1116.0996
contig_57_np1212	945001	947500	381.236	176.5912	1341.1232
contig_57_np1212	947501	950000	410.2572	167.5712	1210.2792
contig_57_np1212	950001	952500	366.7612	147.9512	158.1636
contig_57_np1212	952501	955000	371.0828	157.5888	233.5416
contig_57_np1212	955001	957500	334.3728	158.3148	76.5388
contig_57_np1212	957501	960000	427.1324	150.256	224.3748
contig_57_np1212	960001	962500	444.1432	160.678	782.4312
contig_57_np1212	962501	965000	403.7024	164.246	2637.0628
contig_57_np1212	965001	967500	386.5552	165.002	1726.7644
contig_57_np1212	967501	970000	448.0068	166.6276	46.8996
contig_57_np1212	970001	972500	446.9488	159.3568	42.2652
contig_57_np1212	972501	975000	435.3688	153.6468	1233.7012
contig_57_np1212	975001	977500	453.3388	167.2564	297.3964
contig_57_np1212	977501	980000	392.344	166.236	445.8976
contig_57_np1212	980001	982500	378.5824	169.6008	170.5756
contig_57_np1212	982501	985000	431.0652	158.6504	6186.5696
contig_57_np1212	985001	987500	421.4428	144.9352	3562.3816
contig_57_np1212	987501	990000	407.0172	145.1584	3399.8108
contig_57_np1212	990001	992500	390.3528	136.576	702.9548
contig_57_np1212	992501	995000	414.9072	124.1052	0.2792
contig_57_np1212	995001	997500	438.0408	113.3148	57.558
contig_57_np1212	997501	1000000	420.298	113.1288	1818.894
contig_57_np1212	1000001	1002500	437.4492	127.1468	7664.5004
contig_57_np1212	1002501	1005000	403.242	123.196	3469.7876
contig_57_np1212	1005001	1007500	368.0316	164.3856	619.5816
contig_57_np1212	1007501	1010000	406.0464	190.7256	459.0088
contig_57_np1212	1010001	1012500	410.4156	194.3916	681.7228
contig_57_np1212	1012501	1015000	392.5032	186.0076	1290.6896
contig_57_np1212	1015001	1017500	434.9832	181.4036	1120.6176
contig_57_np1212	1017501	1020000	405.1988	178.6404	2229.8612
contig_57_np1212	1020001	1022500	398.2204	168.5428	908.0176
contig_57_np1212	1022501	1025000	451.1676	154.0032	2086.0296
contig_57_np1212	1025001	1027500	419.9004	159.3504	6731.7932
contig_57_np1212	1027501	1030000	449.0252	150.2556	4.5736
contig_57_np1212	1030001	1032500	458.8028	123.11	94.8704
contig_57_np1212	1032501	1035000	338.7264	117.3352	93.5812
contig_57_np1212	1035001	1037500	373.4584	128.6536	22.1992
contig_57_np1212	1037501	1040000	400.7228	134.3312	1364.8892
contig_57_np1212	1040001	1042500	414.4492	150.6988	1514.1916
contig_57_np1212	1042501	1045000	393.8024	143.8352	22898.9108
contig_57_np1212	1045001	1047500	384.616	136.7612	1369.656
contig_57_np1212	1047501	1050000	417.406	143.9328	651.5804
contig_57_np1212	1050001	1052500	433.0824	121.2648	454.9768
contig_57_np1212	1052501	1055000	438.8572	140.8564	834.538
contig_57_np1212	1055001	1057500	407.5188	160.32	1600.1276
contig_57_np1212	1057501	1060000	457.0352	163.6464	1023.6176
contig_57_np1212	1060001	1062500	411.4044	164.1432	1696.924
contig_57_np1212	1062501	1065000	403.6544	161.946	391.596
contig_57_np1212	1065001	1067500	417.8924	160.9504	38.9332
contig_57_np1212	1067501	1070000	431.246	145.578	121.5448
contig_57_np1212	1070001	1072500	428.3164	155.9888	2079.7344
contig_57_np1212	1072501	1075000	442.6296	173.9668	2203.0272
contig_57_np1212	1075001	1077500	439.1856	164.9768	1189.5596
contig_57_np1212	1077501	1080000	421.7504	164.5884	192.1904
contig_57_np1212	1080001	1082500	383.4832	169.0124	5125.1916
contig_57_np1212	1082501	1085000	412.45	169.9868	196.0712
contig_57_np1212	1085001	1087500	452.6064	171.266	1624.7844
contig_57_np1212	1087501	1090000	430.2056	174.3128	2225.35
contig_57_np1212	1090001	1092500	296.7724	186.2732	20.1352
contig_57_np1212	1092501	1095000	428.1744	173.1176	672.044
contig_57_np1212	1095001	1097500	400.7524	156.2172	3740.194
contig_57_np1212	1097501	1100000	401.8832	146.4456	3732.8284
contig_57_np1212	1100001	1102500	448.4732	160.5104	137.4456
contig_57_np1212	1102501	1105000	457.0712	171.7288	628.0316
contig_57_np1212	1105001	1107500	416.4736	176.8588	443.5884
contig_57_np1212	1107501	1110000	403.9524	173.4796	493.5952
contig_57_np1212	1110001	1112500	435.7744	173.9232	438.4336
contig_57_np1212	1112501	1115000	431.9156	169.5664	351.24
contig_57_np1212	1115001	1117500	424.0464	176.0616	329.9772
contig_57_np1212	1117501	1120000	426.826	176.6248	27.2612
