# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "10" "-M" "--fraction" "-p" "-t" "gene" "-g" "Name" "-a" "../zenodo_folder/genomes/genomic.gff" "-o" "counts/counts_dfir2.txt" "star_map_dfir2/Dfir-0h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-0h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-0h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir2/Dfir-0h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-0h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-0h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam
RB653_003347	CM069765.1	82215	85629	-	3415	514	284	513.33	7135.50	4299	6559.80	7314.29	3565.67	3700.83
RB653_003348	CM069765.1	88334	92566	+	4233	179	853	224	1383	1932	4247	1852.50	1530	2862
RB653_003349	CM069765.1	97863	100054	+	2192	371	326	163	392.50	106	325	484	188	538
RB653_003364	CM069765.1	100217	101383	-	1167	456	494	310	85	24	71	96	32	320
RB653_003365	CM069765.1	101430	104389	-	2960	2048.00	8484.00	3499	7476	16102	22906.33	16918.00	13867.50	18255.00
RB653_003350	CM069765.1	105886	109980	+	4095	50	68	80	592	228	358	516	204	750
RB653_003366	CM069765.1	110067	114272	-	4206	1052	1000	598	1348	438	700	822	372	1252
RB653_003351	CM069765.1	114399	117330	+	2932	198.50	1388.67	675	258	1056	1431.50	504	666	2668.58
RB653_003352	CM069765.1	117442	119151	+	1710	24	24	14	16	10	32	14	2	110
RB653_010782	CM069765.1	120052	120134	-	83	0	0	2	1	2	0	0	0	0
RB653_003367	CM069765.1	120512	121709	-	1198	498	202	372	12	0	12	26	2	478
RB653_003368	CM069765.1	122766	125734	-	2969	15883.51	5593.33	13065.81	3568.98	9532.84	932.14	1019.07	748.40	2166.74
RB653_010783	CM069765.1	123088	123170	-	83	0	0	0	0	0	0	0	0	0
RB653_010784	CM069765.1	125705	125778	-	74	0	0	0	0	0	0	0	0	0
RB653_003369	CM069765.1	126852	129245	-	2394	338	210	372	1428	458	972	1547	922	690
RB653_003353	CM069765.1	130267	131146	+	880	211	100	265.00	110	24	32	118	42	96
RB653_003370	CM069765.1	131367	132116	-	750	2065.50	1402	871	4331	1263	2509	5216	4088	2167
RB653_003354	CM069765.1	133992	135689	+	1698	1845	196	982	2973	1131	761	2846	1008	890
RB653_003371	CM069765.1	135710	137743	-	2034	166	508	646	246	124	220	202	174	572
RB653_003372	CM069765.1	138019	139620	-	1602	284	316	226	414	310	240	214	282	416
RB653_003355	CM069765.1	140276	141608	+	1333	15074.00	9350	10847.00	342	158	510	966	882	7066
RB653_010785	CM069765.1	141838	141919	-	82	0	0	0	0	0	0	2	0	0
RB653_003373	CM069765.1	153996	155658	-	1663	5713	10123	4451.50	346	498.50	416	1000	520	7912
RB653_003356	CM069765.1	156674	157919	+	1246	16923.50	10241.50	6014	11668	7837	7256	7192.50	8631.00	6405
RB653_003374	CM069765.1	157906	158690	-	785	2739	1186	2756	447	150	392	632	479	826
RB653_003357	CM069765.1	158793	159912	+	1120	2875	1176	2653	1084	550	882	1344.00	488	1442
RB653_003358	CM069765.1	160324	164091	+	3768	376	1521.25	867	3586	4798.50	6354	4244	2124	4556.00
RB653_003375	CM069765.1	164131	165307	-	1177	8281.00	3904	5203.00	2806	1256	1768	3374.67	1972	3351.00
RB653_003359	CM069765.1	165761	167353	+	1593	234	102	318	164	2	42	218	170	132
RB653_003360	CM069765.1	167717	169616	+	1900	475	368	338	241	225	191	192	132	395
RB653_003361	CM069765.1	169872	170897	+	1026	38	10	6	85	89	189	242	1370	153
RB653_003362	CM069765.1	171248	172506	+	1259	0	0	0	200	12	196	90	208	10
RB653_010786	CM069765.1	173938	174021	+	84	0	0	0	0	0	3	2	0	2
RB653_010787	CM069765.1	176240	176323	+	84	0	0	0	0	0	0	0	0	0
RB653_010788	CM069765.1	176399	176470	+	72	0	0	0	0	0	0	1	0	2
RB653_003376	CM069765.1	176899	178029	-	1131	14499.72	33466.88	59291.08	61822.67	74570.67	25972.72	43843.89	13620.22	50825.00
RB653_010789	CM069765.1	181319	181390	-	72	0	0	0	0	0	0	0	0	0
RB653_003363	CM069765.1	182131	183171	+	1041	10460.00	1847	5386	5697.00	3898	3435.00	6409.00	3149	2682
RB653_003390	CM069765.1	183490	186710	-	3221	58	40	68	282	62	120	180	68	174
RB653_003391	CM069765.1	186884	187369	-	486	2742	312	1502	322	260	98	150	120	112
RB653_003392	CM069765.1	187749	189328	-	1580	7052	6064	5530	2427	2903	770	1430	1052	6007
RB653_003393	CM069765.1	189541	191049	-	1509	324	102	90	720	1750	190	492	576	322
RB653_010698	CM069765.1	191553	191612	+	60	0	0	0	9	32	2	2	0	0
RB653_003394	CM069765.1	191720	192037	-	318	12	1	2	36.50	96	25	17	18	10
RB653_003395	CM069765.1	192277	193131	-	855	13253	588	4632	29965.67	6871	9060	33887	10460.00	3920
RB653_003396	CM069765.1	194165	196080	-	1916	102	56	56	249	55	308	285	152	144
RB653_003377	CM069765.1	197450	199495	+	2046	584	104	148	1866	2654.50	2602	1371.50	736	233
RB653_003397	CM069765.1	199149	200762	-	1614	277	391	299	758	97	119	236	138	444
RB653_003378	CM069765.1	202224	203532	+	1309	3512	186	896	11985	2084.00	1924	4734	1461	1415
RB653_003379	CM069765.1	203957	205130	+	1174	17	3.00	15.00	172	196	106	87	85	26
RB653_003398	CM069765.1	205184	207834	-	2651	612	1056	498	1325.33	1001	810.83	1025	734	1580
RB653_003399	CM069765.1	208188	210878	-	2691	218	142	314	872	326	624	1072	520	382
RB653_003400	CM069765.1	216223	217701	-	1479	24	1094	427.33	72	773	322	111	137	1091
RB653_003380	CM069765.1	218503	220390	+	1888	3.17	2	0	78.00	189.00	313.00	570	274.25	12
RB653_003401	CM069765.1	220396	221393	-	998	4	0	4	2404	0	160	410	1196	106
RB653_003381	CM069765.1	221737	223300	+	1564	292	565	570.33	1115.00	749	902.88	634.50	443	861.33
RB653_003402	CM069765.1	223401	223903	-	503	19	4	0	19	26	30	17	10	32
RB653_003382	CM069765.1	224249	226357	+	2109	21948.00	1146	5179	37642.00	80250.50	26905.00	32300.00	21312	4730.00
RB653_003403	CM069765.1	228230	230885	-	2656	284	2868	326	2250	3906	2114.00	1973	998	5109.00
RB653_010790	CM069765.1	233167	233248	-	82	0	0	0	2	2	0	0	0	4
RB653_003383	CM069765.1	239589	239975	+	387	8341	5438	4908	166.00	212	242	786	178	4931.00
RB653_010791	CM069765.1	240934	241024	-	91	0	0	0	0	0	0	0	0	0
RB653_003384	CM069765.1	242760	243254	+	495	246	88	94	18	10	12	16	14	84
RB653_003404	CM069765.1	243370	249677	-	6308	3468	7090	3096	16511	29743	22744	19967	15068.00	16997
RB653_003385	CM069765.1	250117	253208	+	3092	877	653	474	853	638	796	808	808	1138
RB653_010792	CM069765.1	254156	254246	-	91	0	0	0	0	1	2	0	0	4
RB653_003405	CM069765.1	256378	257511	-	1134	132	10	102	18	10	20	58	34	8
RB653_010793	CM069765.1	262865	262936	-	72	0	0	0	0	1	0	2	0	4
RB653_003386	CM069765.1	264158	264812	+	655	2	0	2	42	16	10	2	4	4
RB653_003387	CM069765.1	265282	266166	+	885	4	0	0	118	36	106	138	116	177.50
RB653_003388	CM069765.1	266330	269683	+	3354	1000	2112	1616	486	118	226	334	228	1784
RB653_003406	CM069765.1	269813	270298	-	486	322	30	98	998	326	430	410	668	310
RB653_003407	CM069765.1	270533	273751	-	3219	1214	13468	2550	4604	10535.00	4916	1838	1692	15529
RB653_003408	CM069765.1	274276	275058	-	783	5006	133536	229823.50	3984.33	7554	5535	8159	3492.33	107963
RB653_003389	CM069765.1	275761	277326	+	1566	24959.00	7573	11282	4559	3043	944	645	558	5742
RB653_003409	CM069765.1	277309	280915	-	3607	230	1834	1004	432	3027.00	4577	1847	2753	6192
RB653_003410	CM069765.1	285481	286641	-	1161	95	0	22	452	495	535	452	513	114
RB653_003412	CM069765.1	291890	295106	+	3217	609	5603.00	2445	2718	32887.00	35564.77	13903.33	17761.75	27191.52
RB653_003428	CM069765.1	295188	297080	-	1893	38	44	14	30	20	10	20	12	151
RB653_003413	CM069765.1	297324	299456	+	2133	10	10	2	4	2	2	6	14	64
RB653_003414	CM069765.1	299546	300357	+	812	556	210	536	140	172	96	70	102	158
RB653_003429	CM069765.1	300405	302285	-	1881	19183	8696	13568	118	50	186	811	396	516
RB653_003430	CM069765.1	302900	303688	-	789	122	12	57.50	54	118	44	84	56	32
RB653_003415	CM069765.1	303903	304718	+	816	686	88	440	671	520	442	839	583	332
RB653_010794	CM069765.1	311370	311452	+	83	0	0	0	0	0	0	0	0	0
RB653_003431	CM069765.1	312916	314043	-	1128	126	38	48	222	192	136	180	124	138.00
RB653_003417	CM069765.1	316329	317255	+	927	52	236	26	42	70	50	84	54	350
RB653_003432	CM069765.1	317457	317791	-	335	10	0	2	375	9	90	247	436	14
RB653_003418	CM069765.1	318990	319878	+	889	150	82	178	210	46	26	73	96	84
RB653_003433	CM069765.1	320004	324106	-	4103	310.00	1281.00	384.00	100	8	112.00	90	54	2480.00
RB653_003434	CM069765.1	324479	325870	-	1392	10528.00	1210.00	5000	16441.00	9521	6153.00	15290	14353.00	6179
RB653_003435	CM069765.1	327059	328480	-	1422	13300	2664.00	8227.00	2532	1880	1044	1851	1165	1577
RB653_003419	CM069765.1	329044	329784	+	741	228	320	692	273	48	176	106	86	149
RB653_003420	CM069765.1	330293	332459	+	2167	36524	7521	11926.00	2382	2983	2113.78	2788	1747	3316
RB653_003421	CM069765.1	332854	333740	+	887	3384	1282	1307	5081	1232	2059	5439	4790	3046
RB653_003436	CM069765.1	333989	340991	-	7003	80	2347.00	441.00	197.40	4577.00	9131.00	1462.83	1817.48	8391.40
RB653_003437	CM069765.1	342035	345064	-	3030	3979	10065	19482	25652	40878	11589	15028	13923.00	22415
RB653_003438	CM069765.1	345152	346782	-	1631	3480	2838	2428	850	578	428	964	908	1526
RB653_003439	CM069765.1	347110	351450	-	4341	238	2682	1084	1427	2631	3272	1903	1528	4437
RB653_003422	CM069765.1	351770	353581	+	1812	9878	2880	5268	578	30	230	464	458	1659
RB653_003423	CM069765.1	353689	354546	+	858	8833.33	2564	4877.50	102	55	72	296	238	1075
RB653_003424	CM069765.1	355411	358378	+	2968	159	877	136	221	3078.00	3288	415	1806	3965.00
RB653_003440	CM069765.1	358367	360502	-	2136	167	143	228	152	52	66	105	96	168
RB653_003441	CM069765.1	360708	365471	-	4764	408.00	1262	572	467	188	148	224	126	4568
RB653_003442	CM069765.1	365985	368290	-	2306	19963	24879.67	22034.00	2285	950	1106	2813	1463	38203.00
RB653_003425	CM069765.1	369542	370279	+	738	294	70	90	590	5060	359	823	234	170
RB653_003443	CM069765.1	370394	371551	-	1158	360	102	70	56	2	28	34	42	264
RB653_003444	CM069765.1	372351	373436	-	1086	4164	2058	2203	1801	402	1653	2438.00	738	2779.00
RB653_003426	CM069765.1	373833	375339	+	1507	68	20	18	40	4	40	60	34	90
RB653_003427	CM069765.1	375648	377267	+	1620	58	8	20	14778.67	816	1342	3070	6796	476
RB653_003445	CM069765.1	377371	378393	-	1023	1753	1042	1724	252	258	288	362	166	945.00
RB653_010795	CM069765.1	383148	383220	+	73	0	0	0	0	0	0	0	0	0
RB653_003461	CM069765.1	383379	383798	-	420	1205.10	375.07	1160.81	321.60	846.03	112.82	134.20	96.63	236.56
RB653_010796	CM069765.1	384869	384941	-	73	0	2	0	0	0	0	0	0	0
RB653_003462	CM069765.1	387213	390319	-	3107	102	534	38	780	1082	2072	379	628	1178
RB653_003478	CM069765.1	390629	390928	-	300	12	0	0	29	31	41	20	53	4
RB653_003463	CM069765.1	392187	393177	-	991	133	50	144	236	48	140	156	108	166
RB653_003446	CM069765.1	394975	395349	+	375	446	31	104	564.50	1288.50	913	1220.00	676	390
RB653_003464	CM069765.1	396007	397872	-	1866	42	60	72	314	290	52	46	18	198
RB653_003447	CM069765.1	398730	401859	+	3130	125	688	24	24	14	46	82	48	966
RB653_003448	CM069765.1	401976	402562	+	587	191	28	162	278	32	276	279	116	85
RB653_003449	CM069765.1	403249	405461	+	2213	1559.33	926.00	1060	6844	1039	2397.00	7130	3642	2099
RB653_003450	CM069765.1	405921	410816	+	4896	308	1954	483.33	4820	4416	7435	4691	3939.00	9156.00
RB653_010797	CM069765.1	412361	412431	+	71	2	0	0	0	0	0	0	2	0
RB653_010798	CM069765.1	412501	412573	+	73	0	0	0	0	0	0	0	0	2
RB653_003465	CM069765.1	412753	414592	-	1840	1006	168	338	2166	2354	3123.50	2210	2304	414
RB653_003451	CM069765.1	415007	422787	+	7781	222	442	165	2182	2426	3785	1622	2160	880
RB653_003466	CM069765.1	427988	428848	-	861	17222.30	3177.23	7521.07	9955.50	1081	542.50	351.67	460.50	16398.17
RB653_003467	CM069765.1	429549	430361	-	813	950	486	552	275	226	93	145	133	340
RB653_003452	CM069765.1	431724	432164	+	441	30934	5890	19061.50	556	90	108	468	372	6186.00
RB653_003453	CM069765.1	432423	432977	+	555	10	6	8	34	18	28	16	38	36
RB653_003468	CM069765.1	433701	434741	-	1041	956	801	760	2018	1648	1828	2324	953	2096
RB653_003469	CM069765.1	435404	436639	-	1236	742	42	119	3896	10813.50	2243	2009	2230	352
RB653_003470	CM069765.1	436785	438282	-	1498	7426	3226	4213	3054	3439	1337	1813	1176	3296
RB653_003454	CM069765.1	438959	439402	+	444	6296	4847	4718	90	22	16	154	16	4036
RB653_003455	CM069765.1	441319	443106	+	1788	9850.50	4621.40	6318	6240	3196.00	6657.00	8258.00	4975	8332.50
RB653_003456	CM069765.1	443989	445802	+	1814	2658	26237.00	28753.00	848	6166	2594	1935	2070	19892.00
RB653_003471	CM069765.1	445939	446979	-	1041	1446	722	887	16993	11256.50	7453.00	6568.00	10424	3311
RB653_003472	CM069765.1	448340	450145	-	1806	148	102	237	448	185	270	425	296	289
RB653_003457	CM069765.1	451327	455780	+	4454	3622.00	839	1100	2486.00	3584	1300.50	1719.00	1151.47	1332.25
RB653_003458	CM069765.1	456514	457785	+	1272	84207.88	10213.73	44306.07	88105	115904.17	16419.50	18941.17	17082.50	29935.17
RB653_003459	CM069765.1	458296	461899	+	3604	259	1664	512	767	503	870	935	553	2560
RB653_003473	CM069765.1	461921	463958	-	2038	270	68	304	308	672	54	64	34	156
RB653_003474	CM069765.1	464187	465635	-	1449	560.75	504	498	676	358	438	584	458	848
RB653_003479	CM069765.1	465912	466103	-	192	510	4	169.50	0	2	9	0	0	0
RB653_003475	CM069765.1	466876	469319	-	2444	6325.00	840	4590	624	5066	769	3631.00	508	1844
RB653_010799	CM069765.1	470323	470394	+	72	0	0	0	0	0	0	0	0	0
RB653_003476	CM069765.1	474358	475785	-	1428	32	248	156	100	16	40	22	22	320
RB653_003477	CM069765.1	475908	476463	-	556	2	32	24	12	0	2	2	0	42
RB653_003460	CM069765.1	478681	480645	+	1965	12.58	19.69	6.29	18.24	7.98	26.43	76.97	17.96	86.35
RB653_010800	CM069765.1	481605	481677	-	73	2	0	0	0	1	2	0	4	21
RB653_003497	CM069765.1	483051	483620	-	570	2	104	24	6	26	60	26	48	281
RB653_003498	CM069765.1	484573	485449	-	877	0	103	20	2	34	20	7	36	234.00
RB653_003499	CM069765.1	487384	494462	-	7079	120	362	119	719	319	408	252	360	525
RB653_003500	CM069765.1	494548	495789	-	1242	2	14	1	12	17	16	2	12	29
RB653_003480	CM069765.1	496353	497243	+	891	3186	692	1736.00	884	275	616	900	788	904
RB653_010801	CM069765.1	499453	499524	+	72	0	0	0	0	0	0	0	0	0
RB653_003501	CM069765.1	502072	502650	-	579	57	34	32	73	24	33	37	27	89
RB653_010802	CM069765.1	504053	504124	-	72	0	0	0	0	0	0	0	0	0
RB653_003502	CM069765.1	505241	506296	-	1056	1872	632	969	58	130	66	376	872	1126
RB653_003481	CM069765.1	506682	507543	+	862	184	102	62	104	262	30	64	44	187
RB653_003482	CM069765.1	509142	512781	+	3640	430	2176	418	36	30	212	472	238	3352
RB653_003503	CM069765.1	512975	515593	-	2619	1705	72862.00	59905.00	930	24087.00	20208.00	7264.00	9068	97629.00
RB653_003483	CM069765.1	516352	517646	+	1295	4024	1969	2954	430	208	376.00	397	206	1871
RB653_003484	CM069765.1	517875	519288	+	1414	1538	472	1098	1088	138	356	232	176	916
RB653_003504	CM069765.1	519714	521461	-	1748	916	2106.00	1518	1001	1300	918	666	630	2745
RB653_003485	CM069765.1	521945	523028	+	1084	200	32	94	97	32	48	58	30	52
RB653_003486	CM069765.1	524342	527506	+	3165	4291	11192	6214	13223.50	2815	5093	3936.50	9313	28742.00
RB653_003487	CM069765.1	528265	531166	+	2902	3420	5061	1685	4885	5116	4186.00	4686	4520	8763
RB653_003505	CM069765.1	531559	532504	-	946	35492.00	8319	21414	6761	9453	2074	2301	1232	6288
RB653_003488	CM069765.1	532947	535115	+	2169	232	328	225	262	100	211	387	190	518
RB653_003506	CM069765.1	535189	539180	-	3992	754	1288	946	761	1282	222	354	248	1646
RB653_003489	CM069765.1	539553	540861	+	1309	516	428	454	358	2726	154	138	52	596
RB653_003490	CM069765.1	541226	542152	+	927	39775.00	43206.00	116659.00	1585	1104	1372.00	3117	858	29634
RB653_010803	CM069765.1	546919	546990	+	72	0	0	0	0	0	0	0	0	0
RB653_003491	CM069765.1	547117	547392	+	276	0	0	0	0	0	0.50	0	0	0
RB653_010804	CM069765.1	548087	548157	+	71	0	0	0	0	0	0	0	0	0
RB653_003507	CM069765.1	548719	552387	-	3669	438.28	806.89	457.50	1256.00	506.67	385.75	314.67	251.83	1580.67
RB653_003508	CM069765.1	552875	554144	-	1270	31069	9738	13614	21040	16753	8840.00	21958	10067	18461.00
RB653_003509	CM069765.1	555190	556150	-	961	4610	1154	3258.00	1582.00	2035	836	1264	680	994
RB653_003492	CM069765.1	556560	562958	+	6399	272	1561.33	263.45	1145	935	1261.80	734.00	498	5323.57
RB653_003493	CM069765.1	563297	564523	+	1227	1610	94	881	2483	3787	1026	1616	1321	473
RB653_003510	CM069765.1	564426	565456	-	1031	49686.00	12366	14027.00	10799	5519	2570	10444	2989	7815
RB653_003494	CM069765.1	567061	570880	+	3820	52	540.33	169	405.13	744.89	1279.96	472.03	361.50	1852.62
RB653_003512	CM069765.1	571314	574405	-	3092	9477.00	1744	3317.00	42848.00	42123.50	22589.00	48561.00	15133.00	9250.00
RB653_003513	CM069765.1	576001	578802	-	2802	310	628	238	620	816	532	546	324	958
RB653_003495	CM069765.1	579263	580898	+	1636	6584	4788	6790	6664.00	6738.00	4298	5214	2888.00	5690
RB653_003514	CM069765.1	580910	582388	-	1479	136	256	62	54	20	46	150	84	827
RB653_003496	CM069765.1	583119	584099	+	981	16604.00	116351.00	237493.00	1052	3558.00	4538	3234	2552	94303.00
RB653_003515	CM069765.1	584098	585988	-	1891	1248	2066.00	1452	460	646	366	620	414	1616
RB653_003516	CM069765.1	586594	589893	+	3300	112	431	280	882	2536	1578	1079	797	1811
RB653_003517	CM069765.1	590525	592260	+	1736	626	966	571	2180	1028	2238	2053	804	2150
RB653_003535	CM069765.1	592569	594101	-	1533	60	738	483	258	756	751	180	187	930
RB653_003518	CM069765.1	594515	597181	+	2667	670	998	520	926	673	666	664	484	1122
RB653_003519	CM069765.1	598750	599136	+	387	1771.08	530.79	1554.54	391.60	576.45	122.93	128.34	101.22	329.93
RB653_010805	CM069765.1	599229	599301	-	73	0	0	0	0	0	0	0	0	0
RB653_003520	CM069765.1	602681	604010	+	1330	12	6	4	53.50	8	7	67	22	9
RB653_003536	CM069765.1	603456	605159	-	1704	4	8	10	20	51	12	9	11	10
RB653_003521	CM069765.1	606431	608455	+	2025	134	117.25	70	1055.50	362.11	669.00	469.40	688	199.33
RB653_003537	CM069765.1	608465	612040	-	3576	358.33	9962	4999	3679.50	12808.33	2576.50	1570.33	1808	14006
RB653_003538	CM069765.1	612646	613131	-	486	980.67	42	88.67	95804.10	19083.92	96192.25	195223.75	53903.17	2774.83
RB653_003539	CM069765.1	613683	614415	-	733	250.33	6	43.67	38007.77	14734.75	41024.91	92851.08	21442.50	1296.50
RB653_003522	CM069765.1	617368	618300	+	933	8260	4471	6078	2096.50	822	877	1640	988	5610
RB653_0035221	CM069765.1	618400	619600	+	1201	1532	845	734	1482	1728	1170.50	1694	1132	1354
RB653_010806	CM069765.1	619923	619995	-	73	0	0	0	0	0	0	0	0	4
RB653_003523	CM069765.1	621021	626168	+	5148	874	1306	2232	420.67	1411	856	267	466	1323
RB653_003540	CM069765.1	627152	628558	-	1407	464	1039	1290	261	245	778	703	596	5708
RB653_003524	CM069765.1	629580	630347	+	768	9279	2280	5424.00	564	852	330	430	379	1689
RB653_003525	CM069765.1	630490	631812	+	1323	422	293	559	36	24	14	22	4	297
RB653_003541	CM069765.1	631771	632608	-	838	1432.00	280	827	1043	482	651	995	732	604
RB653_003526	CM069765.1	633114	635041	+	1928	5267.50	2628	2565.00	4462	1924	2486.00	4690.00	1710	4280
RB653_003527	CM069765.1	635336	636739	+	1404	22	28	4	44909	446	5260	10800	20366	2479
RB653_003528	CM069765.1	637834	638916	+	1083	0	1	2	96	49	48	84	65	64
RB653_003542	CM069765.1	638993	639640	-	648	6480	1071	830	428	84	258	692	442	242
RB653_003529	CM069765.1	642074	646942	+	4869	1156	6978	1244	12163	3157.50	15194	20985.00	10828	11312.50
RB653_003543	CM069765.1	646920	652788	-	5869	816.50	2942	618.50	1874.50	981	718	320	582	9953
