# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "10" "-M" "--fraction" "-p" "-t" "gene" "-g" "Name" "-a" "../firmibasis_comparative_genomics/05_reference_genomes/ddis_combined_annotation.gff" "-o" "counts/counts_ddis.txt" "star_map_ddis/Ddis-0h-A.bam" "star_map_ddis/Ddis-0h-B.bam" "star_map_ddis/Ddis-0h-C.bam" "star_map_ddis/Ddis-16h-A.bam" "star_map_ddis/Ddis-16h-B.bam" "star_map_ddis/Ddis-16h-C.bam" "star_map_ddis/Ddis-24h-A.bam" "star_map_ddis/Ddis-24h-B.bam" "star_map_ddis/Ddis-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_ddis/Ddis-0h-A.bam	star_map_ddis/Ddis-0h-B.bam	star_map_ddis/Ddis-0h-C.bam	star_map_ddis/Ddis-16h-A.bam	star_map_ddis/Ddis-16h-B.bam	star_map_ddis/Ddis-16h-C.bam	star_map_ddis/Ddis-24h-A.bam	star_map_ddis/Ddis-24h-B.bam	star_map_ddis/Ddis-24h-C.bam
DDB_G0267198	NC_007087.3	18497	18694	+	198	0	0	0	0	0	0	1	1	0
DDB_G0267200	NC_007087.3	18781	18985	+	205	0	0	0	1	0	0	1	0	0
DDB_G0267202	NC_007087.3	20869	21249	+	381	0	0	0	0	0	0	2	2	0
DDB_G0267204	NC_007087.3	21490	23468	+	1979	1.05	0	2.25	4.48	0.40	0	0	1.85	0
DDB_G0267206	NC_007087.3	23929	26416	+	2488	5.73	25.87	34.70	59.34	113.00	23.61	79.41	364.09	190.02
DDB_G0267208	NC_007087.3	28333	28920	+	588	6.50	38.36	38.39	7.90	24.13	76.63	24.92	99.02	73.58
DDB_G0267210	NC_007087.3	29137	32238	+	3102	43.80	375.61	209.27	153.67	591.52	766.65	557.47	1807.64	1236.73
DDB_G0267212	NC_007087.3	33133	35879	+	2747	16.58	80.27	36.59	38.78	164.59	239.05	127.91	531.64	307.65
DDB_G0267214	NC_007087.3	35915	36052	-	138	0	0	0	0	0	0	0	0	0
DDB_G0267216	NC_007087.3	36170	36667	-	498	0	0	0	0	0	0	0	0	0
DDB_G0267218	NC_007087.3	36858	37064	-	207	0	0	0	0	0	0	0	2	0
DDB_G0267220	NC_007087.3	37303	37533	-	231	0	0	0	0	0	0	0	0	0
DDB_G0267222	NC_007087.3	38063	38542	-	480	0	0	0	0	0	0	0	1	10
DDB_G0267224	NC_007087.3	38714	39010	-	297	0	0	0	0	0	2	0	2	2
DDB_G0267226	NC_007087.3	39234	39494	-	261	0	0	4	2	0	14	3	6	1
DDB_G0267228	NC_007087.3	39890	42049	+	2160	1.67	0	0	0	0	0.50	1.50	3.00	0
DDB_G0267230	NC_007087.3	42193	43179	+	987	36.05	33.00	25.83	40.30	9.07	8.67	15	8.77	14.00
DDB_G0267232	NC_007087.3	45035	45172	-	138	0	0	0	0	0	2	0	0	0
DDB_G0267234	NC_007087.3	45329	45646	-	318	0	0	0	2	0	8	4	10	0
DDB_G0267236	NC_007087.3	46105	48369	-	2265	918.89	17515.65	3310.89	4761.03	32009.68	52908.53	32388.57	65604.59	76105.98
DDB_G0267238	NC_007087.3	49019	50026	-	1008	243.90	4307.32	1094.12	328.35	6942.95	10665.22	2715.52	15577.39	13522.40
DDB_G0267240	NC_007087.3	52425	54982	-	2558	32.22	488.51	170.48	131.39	886.99	1246.51	797.67	2244.75	1926.61
DDB_G0267242	NC_007087.3	55333	56177	-	845	56.07	310.90	192.65	101.55	441.78	639.85	418.16	1482.42	1024.49
DDB_G0267264	NC_007087.3	56374	56811	-	438	24.20	91.11	84.07	40.44	149.40	217.23	133.81	523.88	363.44
DDB_G0267244	NC_007087.3	57242	59413	-	2172	6.65	253.77	113.13	59.31	364.09	544.76	367.29	1098.70	830.70
DDB_G0267246	NC_007087.3	60063	61070	-	1008	9.12	282.37	73.48	19.00	388.30	790.73	218.94	940.77	908.27
DDB_G0267248	NC_007087.3	61559	62221	-	663	25.10	162.05	119.40	225.31	455.76	399.37	463.15	1199.36	854.34
DDB_G0267250	NC_007087.3	63591	66041	+	2451	41.67	95	79	215	66	29.17	11.50	32.00	44
DDB_G0267252	NC_007087.3	66189	67191	+	1003	46.38	68.20	51.83	41.30	19.80	33.67	71.87	37.77	100.23
DDB_G0267258	NC_007087.3	74542	76806	-	2265	30.42	910.68	420.90	389.39	1666.02	1911.38	2032.18	4712.57	4166.01
DDB_G0267260	NC_007087.3	77456	78463	-	1008	30.34	150.93	96.26	39.93	233.02	382.06	206.78	668.30	525.18
DDB_G0267262	NC_007087.3	79066	79773	-	708	7.19	105.90	65.66	27.70	229.77	157.95	110.59	732.29	427.27
DDB_G0267270	NC_007087.3	88569	88844	-	276	10	3.42	3.50	2.75	5.75	9	4.50	11.83	9.58
DDB_G0267272	NC_007087.3	89316	90391	+	1076	13.87	204.39	120.27	148.31	377.16	459.01	590.55	1354.01	1029.08
DDB_G0267274	NC_007087.3	90719	92580	+	1862	1.60	2.62	0	5.19	2.90	1	2.25	2	0.25
DDB_G0267276	NC_007087.3	92626	93641	-	1016	108.95	144.88	127.90	13.29	3.33	0	18.17	41.29	30.24
DDB_G0267278	NC_007087.3	94094	94636	-	543	1.17	0	0	0	0	0	0	1.17	0
DDB_G0267280	NC_007087.3	94704	96086	-	1383	2.98	4.41	6.82	4.97	2.19	0.50	2.40	6.05	4.19
DDB_G0267282	NC_007087.3	97144	98073	-	930	4.25	14.85	2.67	6	11.45	27.21	30.30	59.56	18.83
DDB_G0267284	NC_007087.3	98859	99044	-	186	0	0	0	2	0	6	0	2	2
DDB_G0267286	NC_007087.3	100754	101026	-	273	0	0	0	0	0	0	0	0	0
DDB_G0267290	NC_007087.3	103527	103933	-	407	42.81	65.12	18.04	213.74	148.44	185.22	285.59	302.64	229.26
DDB_G0267292	NC_007087.3	104223	105230	+	1008	441.62	3249.95	1270.50	883.88	4005.63	8256.80	5560.09	10661.08	13235.47
DDB_G0267294	NC_007087.3	105880	108144	+	2265	449.46	11669.06	4233.83	5028.49	19034.16	31424.49	30051.37	50030.65	58266.90
DDB_G0267296	NC_007087.3	108593	109261	-	669	0	1	0.22	0	0.75	1.33	0.50	3.12	2
DDB_G0267298	NC_007087.3	109429	109997	-	569	0	0	0	0	0	0	0	0	0
DDB_G0267300	NC_007087.3	110783	112804	+	2022	16.77	460.36	214.73	110.88	783.14	1003.24	878.95	2322.15	2281.95
DDB_G0267302	NC_007087.3	113142	113324	-	183	0	0	0	0	0	0	0	0.25	0
DDB_G0267304	NC_007087.3	114394	116973	+	2580	14.89	578.13	202.66	90.06	1098.95	1397.30	766.20	2852.05	2279.11
DDB_G0267306	NC_007087.3	117148	121209	-	4062	1.25	150.41	75.87	4.54	168.11	14.28	5.91	142.26	84.50
DDB_G0267308	NC_007087.3	121433	121843	-	411	0.56	52.61	59.14	6.62	37.67	21.01	19.00	72.21	38.77
DDB_G0267310	NC_007087.3	121880	122398	-	519	0	5.05	7.67	0	5.15	0.50	4.89	13.14	4.62
DDB_G0267312	NC_007087.3	122800	123098	-	299	41.49	154.72	81.34	93.60	90.94	77.01	33.00	96.83	74.26
DDB_G0267314	NC_007087.3	123714	124664	-	951	13.66	210.78	81.91	29.90	367.51	570.99	224.68	931.27	673.53
DDB_G0267316	NC_007087.3	125152	125394	-	243	0	8.67	0.20	0	4	10.75	11	10.52	4.67
DDB_G0267318	NC_007087.3	125994	126140	-	147	0	0	0	0	0	2	4	0	0
DDB_G0267320	NC_007087.3	126335	126493	-	159	0	0	0	0	0	4	0	0	4
DDB_G0267322	NC_007087.3	127571	128086	-	516	15.37	36.82	37.97	70.66	58.70	65.06	85.95	245.37	100.33
DDB_G0267324	NC_007087.3	128570	129577	+	1008	81.10	531.11	269.68	108.57	809.74	1299.61	636.12	2282.56	1975.11
DDB_G0267326	NC_007087.3	129934	132491	+	2558	13.94	373.38	155.99	131.35	654.08	793.50	521.33	1890.65	1302.64
DDB_G0267328	NC_007087.3	132940	134658	-	1719	10.34	662.50	206.22	81.43	1124.91	1505.53	810.46	2851.34	2562.12
DDB_G0267330	NC_007087.3	135308	136312	-	1005	12.24	65.70	24.86	17.96	82.31	183.17	44.49	251.40	167.56
DDB_G0267332	NC_007087.3	137038	137749	-	712	0	0	0	0	0	0	1	1	0
DDB_G0267338	NC_007087.3	138334	138819	-	486	0	13.47	5.69	3.20	35.30	20.05	11.20	77.69	43.50
DDB_G0267334	NC_007087.3	139298	139765	+	468	16	8.22	12.67	36	10.58	42.04	34.25	53.29	21.67
DDB_G0267336	NC_007087.3	142027	144884	-	2858	7.00	0	0.50	5.50	2	6.50	6.50	4.33	3.00
DDB_G0267342	NC_007087.3	145444	148322	+	2879	9.98	214.97	110.66	82.81	415.45	480.02	337.54	1263.21	882.90
DDB_G0267344	NC_007087.3	149314	151160	+	1847	0	0	0	0	2	0	4	0	0
DDB_G0267346	NC_007087.3	151286	152888	+	1603	0	0	0	0	4	6	4	2	8
DDB_G0267348	NC_007087.3	153529	154134	-	606	0	0	0	0	0	0	0	0	0
DDB_G0267350	NC_007087.3	154265	154810	-	546	2	0	0	1	0.20	0	0	0	2
DDB_G0267352	NC_007087.3	158583	161024	+	2442	17.70	20.01	13.07	21.45	22.18	11.94	24.19	17.88	25.46
DDB_G0267354	NC_007087.3	161143	162112	+	970	1627.81	2079.54	1276.63	171.22	75.13	54.97	271.87	463.78	483.40
DDB_G0267356	NC_007087.3	162941	166942	-	4002	251.13	8943.83	2341.06	375.06	6743.60	4344.23	556.55	4315.48	4317.44
DDB_G0267358	NC_007087.3	167225	168373	-	1149	56.29	3291.51	1784.18	103.02	1367.73	1459.81	756.11	1650.54	2293.74
DDB_G0267360	NC_007087.3	168621	168964	-	344	76.36	304.96	151.25	186.29	161.11	99.21	80.31	194.62	173.01
DDB_G0267362	NC_007087.3	169365	173608	-	4244	258.74	9707.39	2387.55	296.16	6929.36	3949.07	699.53	4698.66	5461.26
DDB_G0267364	NC_007087.3	173832	174272	-	441	46.45	1464.40	754.06	55.15	625.34	714.60	309.72	748.09	911.47
DDB_G0267366	NC_007087.3	186570	188939	-	2370	2.67	2984.31	758.11	8.84	2041.87	608.36	98.08	1178.72	1291.34
DDB_G0267368	NC_007087.3	189222	190370	-	1149	29.72	2482.86	835.98	69.61	1197.94	1120.72	200.61	830.05	793.62
DDB_G0267370	NC_007087.3	191815	192624	-	810	355.88	379.84	261.70	64.82	29.07	25.80	95.90	141.02	87.40
DDB_G0267372	NC_007087.3	193516	194159	+	644	3.60	28.42	9.92	1.72	9.58	1.62	4.29	9.74	14.86
DDB_G0268474	NC_007087.3	194176	194850	+	675	0.80	11.77	4.20	0.40	6.97	5.33	0.40	7.20	11.55
DDB_G0268476	NC_007087.3	195959	196984	-	1026	11.22	8.09	9.20	25.58	57.09	6.94	32.69	4.97	15.23
DDB_G0268260	NC_007087.3	198724	200556	-	1833	789	575	306	1430	1094	498.00	752	646	626
DDB_G0267458	NC_007087.3	201217	203254	+	2038	400	7139.00	4103.67	1354.29	4013.50	4829.33	2197.29	2931.83	3514.05
nup93	NC_007087.3	203419	206582	-	3164	1036	4247.00	2835.47	1311.51	2854.29	501	1263	1524.25	2474
DDB_G0267482	NC_007087.3	206837	207171	+	335	1392.00	927.00	1482	3164.00	690	325	570.00	1140	579
DDB_G0268262	NC_007087.3	207681	207939	+	259	17	8	6	76	30	18	40	25	19
acp1	NC_007087.3	208100	208842	+	743	1195	640	764	3478	538	990	726	484	457
DDB_G0267486	NC_007087.3	208945	209681	-	737	1228	476	738	1511	418	248	410	398	400
DDB_G0267488	NC_007087.3	210356	212554	+	2199	378	462	302	174	138	34	180	270	232
ChLim	NC_007087.3	212712	214898	-	2187	386	1821.00	702.00	220	428	1226	2173	3262.00	2368.00
DDB_G0267492	NC_007087.3	215251	217562	-	2312	560	3348	1712	114	924	1340	780	1864	2114
DDB_G0267494	NC_007087.3	217763	218365	+	603	265	140	160	591	269	56	159	222	152
DDB_G0267496	NC_007087.3	218913	225973	+	7061	751.50	10185.00	4285	699	3218.00	2011	2226	3994.00	5515.22
DDB_G0267498	NC_007087.3	226283	227085	+	803	868	471	491	2795	610	404	798	628	478
DDB_G0267500	NC_007087.3	227165	228343	-	1179	5785	2760	3682	8613	3086	2781	4520.50	5802	3524
pakC	NC_007087.3	229145	230944	-	1800	8035	10969.00	9661	6919	5379	11735	11224	9726	7676
DDB_G0268264	NC_007087.3	231364	232044	-	681	85748.00	43435.00	66658.99	98895.99	46213.00	137627.00	51843.00	34049.00	24522.00
DDB_G0268266	NC_007087.3	233800	236723	+	2924	393	1314	198	995	2782	2290.00	1268	1364	2830
DDB_G0267502	NC_007087.3	236992	238491	-	1500	1491	1638	1532	764	708	1112	866	1101	1124
msh6	NC_007087.3	238722	242663	+	3942	138	1170	554	612	1186	1126	709	1314	1706
adprt4	NC_007087.3	243053	245068	+	2016	1527	8135	3685	174	542	418	1205	1524	1642
DDB_G0267504	NC_007087.3	245416	247229	-	1814	1308	788	820	4033.00	1754	1841	1674	1934	1164
aslH	NC_007087.3	248894	251043	+	2150	2	2	3	27.67	52	112	1256.33	1947.50	2278.33
DDB_G0268268	NC_007087.3	251537	252874	-	1338	1072	478	569	3203.67	1882.50	2378.50	1800	2122.00	1854.00
DDB_G0267508	NC_007087.3	254497	255225	-	729	7316	3166	4334	3494.67	517	2482	2051	1375	1414
DDB_G0268478	NC_007087.3	255654	256271	+	618	4222	2132	2790	2087	471	662	1282	1379	896
DDB_G0267510	NC_007087.3	256535	257366	-	832	568	468	532	610	260	64	286	330	236
DDB_G0267512	NC_007087.3	257711	258721	-	1011	2144	1822	1946	670	180	474	920	666	532
DDB_G0267514	NC_007087.3	259066	261816	-	2751	5692.00	8050.00	4062	8383.00	10565.80	11755.00	10619	4822.00	9133
dhx57	NC_007087.3	263217	267660	-	4444	382	1348	785	588	1150	780	474	754	1074
DDB_G0267518	NC_007087.3	267999	268166	+	168	6	10	14	24	0	0	17	12	4
DDB_G0267520	NC_007087.3	268383	269017	+	635	14	28	22	138	12	28	55	34	14
DDB_G0267522	NC_007087.3	269690	270976	-	1287	92	182	84.00	248	232	56	166	178	190
ssr3	NC_007087.3	271374	272197	-	824	24633	11073	14855	6747	1038	3027	4981	4920	4008
DDB_G0267526	NC_007087.3	272779	273967	+	1189	446	1287	594	430	1050	791	490	966	1156
DDB_G0267528	NC_007087.3	274124	275255	-	1132	7441	7574	11180	966	664	3459	10153	8660	11812
DDB_G0267530	NC_007087.3	276695	277327	+	633	6012.00	21683.00	34660.00	1880	958.00	6010.00	16410.00	9451.00	11449.00
psmA3	NC_007087.3	277655	278789	-	1135	24239	9804.00	13697	12388	2066	2582	6064	2698	3165.33
DDB_G0268270	NC_007087.3	279600	281837	-	2238	8905	5676	5322	882	354	1192	4849	2930	2575
DDB_G0267532	NC_007087.3	283495	286152	+	2658	4	6	2	1827	2104	1239	1088	656	1064
dafE	NC_007087.3	286362	287906	-	1545	469	1399	600	248	348	171	442	456	734
DDB_G0267534	NC_007087.3	288484	289302	-	819	1736	1638	1344.33	464.50	382.50	491.29	490	552.40	623.79
hibch	NC_007087.3	289882	291134	+	1253	4765	4929	4801	1436	562	1628	2128	1582	1806
DDB_G0267538	NC_007087.3	291771	293820	+	2050	356.50	4267	2750.70	1449.50	4352.00	4670.00	1988.00	3473	4246.67
cdk10	NC_007087.3	294048	295439	-	1392	767	580	520	980	544	208	1098	554	630
dicB	NC_007087.3	298527	300350	+	1824	14456	2610	1777	29546	9454	13251	31691.00	16649	10177
scy1	NC_007087.3	300608	303232	-	2625	1518	2149	1328	1015	1658	1199	1298	1181	1804
DDB_G0267542	NC_007087.3	303809	304036	+	228	15	0	10	12	2	6	8	10	2
aslN	NC_007087.3	304919	306988	-	2070	12	12	8	4018.50	4761.00	2223	2213.00	5032.00	3286.00
aslM	NC_007087.3	307708	309784	-	2077	28	12	10	2193.50	1102.00	579	2035.00	2622.50	2539.00
DDB_G0267546	NC_007087.3	311255	312670	+	1416	534	478	374	1994	1669	855	2506	2910	3706.25
elmoF	NC_007087.3	313115	316757	-	3643	572	1273	930	158	410	352	881.20	2397	1488.60
DDB_G0268482	NC_007087.3	316889	320193	+	3305	10	10	11	1	0	7	9	4	0
DDB_G0268274	NC_007087.3	320689	320895	+	207	1593	807	1697	179	34	88	363	352	298
DDB_G0268276	NC_007087.3	321034	321165	+	132	490	125	147	82	20	31	79	38	97
DDB_G0268278	NC_007087.3	322112	322810	+	699	1640	142	209	32940.33	5678	7544.00	6458.33	5300	2687
DDB_G0267550	NC_007087.3	323194	324597	+	1404	2	0	0	2813	984	238	365	384	344
DDB_G0267552	NC_007087.3	324845	325596	-	752	6439.00	3498	4690	4795	1402	3039	2584	2451	1778
DDB_G0267554	NC_007087.3	325873	326929	+	1057	54.40	124	68	80.22	95.22	46	104	54.22	110
DDB_G0267556	NC_007087.3	327145	330624	-	3480	90	226	122	954	1252	590	327	796	1024
DDB_G0267558	NC_007087.3	331477	332578	+	1102	4	18	8	27	22	4	10	14	18
DDB_G0268280	NC_007087.3	332626	336050	+	3425	8	28	8	74	44	64	32	22	48
uprt	NC_007087.3	336383	337455	+	1073	3616	3320	3102.50	2487	610	546	1220	1197	982
sodA	NC_007087.3	338107	338878	+	772	27256.50	14546	16326	75880	18203	58249.50	25826.00	12624	16883.50
DDB_G0267562	NC_007087.3	339129	341341	+	2213	212	156	52	186	312	247	154	148	255
DDB_G0267564	NC_007087.3	341837	343496	+	1660	266	167.50	434	38	14	58	185	108	82
DDB_G0267566	NC_007087.3	343868	346712	-	2845	4	4	6	1148	434	504	296	310	472
tgrO4	NC_007087.3	348371	351563	+	3193	0	10	4	548	965	1104	464	474	789
kif2	NC_007087.3	351991	354465	-	2475	183	226	83	758	943	356	532	382	934
gacO	NC_007087.3	355159	357213	-	2055	790	7417.00	2829	1618	5542	3671	3615	9400	8106.00
DDB_G0267570	NC_007087.3	358932	360995	-	2064	5383	6084	4310	780	252	336	6879	7438	5704
DDB_G0267572	NC_007087.3	361555	362932	-	1378	334	397	504	152	280	56	260	667	443
DDB_G0268286	NC_007087.3	363410	364574	+	1165	62	56	8	3144	1538	1466	960	897	748
cybA	NC_007087.3	364761	365278	-	518	5751.00	2234	4774.00	2487	985	750	1568	2264	978
DDB_G0267574	NC_007087.3	365942	366747	+	806	5597	2340	3556	5948	1258	1108	1591	1908	1036
DDB_G0267576	NC_007087.3	366936	367540	+	605	234	166	148	410	131	48	146	92	102
DDB_G0267578	NC_007087.3	368155	368942	+	788	65	0	12	118	14	29	64	217	40
DDB_G0267580	NC_007087.3	369407	370211	+	805	82	2	34	233	80	110	338	732	234
DDB_G0267582	NC_007087.3	371018	373018	+	2001	3950.50	2910.00	1964.75	11637.50	4917	2209.00	3698.50	3985	2587.00
adcE	NC_007087.3	373253	374947	-	1695	1033	2057	1992	3122	3574	1772	2222.00	3056	2262
DDB_G0267586	NC_007087.3	375348	376736	+	1389	771	675	510	1762	512	688	784	482	678
DDB_G0267588	NC_007087.3	376992	379294	-	2303	2271	7228	3414	6602	6395	15581.50	12780.00	7540	11150
DDB_G0267590	NC_007087.3	381029	382632	-	1604	4806	4460	3432	2133	1934	5210	3817.00	3788	3578
DDB_G0267592	NC_007087.3	383616	385211	+	1596	10308.00	13669	7922.00	775	610	790	972	1345	1623
pfdn2	NC_007087.3	385503	385941	+	439	2651	1534	1828	2362	552	170	1067	1093	656
DDB_G0268288	NC_007087.3	386296	390186	-	3891	200	415	183	182	464	244	296	383	460
DDB_G0267596	NC_007087.3	390446	395584	-	5139	66	496	154	66	242	182	116	214	460
DDB_G0267598	NC_007087.3	395715	397024	-	1310	334	276	260	1233	620	262	2506	480	1094
DDB_G0268290	NC_007087.3	397569	397823	-	255	9.33	6.17	3.33	1	3	1	0.83	0.50	5.33
DDB_G0267600	NC_007087.3	398417	399505	-	1089	0	0	4	8	2	4	286	54	4
DDB_G0267602	NC_007087.3	400350	405975	-	5626	462	1177	422	132	60	100	1379	831	1150
mserS	NC_007087.3	406648	408225	-	1578	846	1044	562	84	38	270	264	231	272
fcf1	NC_007087.3	408722	409582	+	861	767	296	521	1144	597	82	724	1288	572
DDB_G0267608	NC_007087.3	409670	410341	-	672	640	288	248	428	100	42	240	202	160
DDB_G0267610	NC_007087.3	411512	412435	-	924	2	0	0	8	6	0	6	14	16
DDB_G0267612	NC_007087.3	413651	414280	+	630	6894	224	3293	476	70	182	1174	328	574
argE	NC_007087.3	414980	416538	+	1559	51213.00	40283.50	53624.33	12942.00	7394	30918.00	48943.00	19007.33	23263.00
DDB_G0268292	NC_007087.3	416596	417778	-	1183	1	0	0	1458	192	230	63	86	62
DDB_G0267614	NC_007087.3	420108	421374	-	1267	732	705	648.00	12041.49	3473.71	8531.99	3047.00	3862.50	1772.00
ancA	NC_007087.3	424007	425518	+	1512	217546.75	284049.00	231771.67	16058.50	5316	21697	85206.33	50762.50	67964.33
DDB_G0268294	NC_007087.3	426692	427642	-	951	2	10	0	0	1	2	1	4	0
DDB_G0267616	NC_007087.3	427853	430458	+	2606	51	1234	909	44	105	180	233	452	338
DDB_G0268484	NC_007087.3	431176	433575	-	2400	6.89	21	22.50	60.50	24	74.92	99.20	50	59
DDB_G0267618	NC_007087.3	434296	435920	+	1625	0	0	0	0	2	0	0	0	0
DDB_G0267620	NC_007087.3	436026	437354	-	1329	16	8	8	5527	2129	1580	973	830	982
srp9	NC_007087.3	438237	438607	-	371	2678	1205	2080	1299	306	68	1016	1239	822
DDB_G0267624	NC_007087.3	439137	440790	+	1654	7422.17	11418.83	4029	2173	1529	2955.50	3654.00	3861	3520.67
DDB_G0267626	NC_007087.3	441074	441229	-	156	8	2	20	12	4	0	2	0	2
DDB_G0267628	NC_007087.3	441857	441979	-	123	0	0	0	0	0	0	0	0	0
kil1	NC_007087.3	443514	444929	+	1416	2421	1240	1304	792	462	569	1448	1102	1386
DDB_G0267632	NC_007087.3	445092	446321	-	1230	0	4	0	864	468	470	450	358	343
DDB_G0268296	NC_007087.3	447261	447452	+	192	0	0	0	0	0	0	0	0	0
DDB_G0268298	NC_007087.3	447485	447880	-	396	0	0	0	0	0	0	0	0	0
tRNA-Lys-UUU-2	NC_007087.3	448541	448611	+	71	0	0	0	0	0	0	0	0	0
DDB_G0267634	NC_007087.3	448892	451792	+	2901	1	0	0	4	0	12	6	10	0
mybM	NC_007087.3	451992	454102	-	2111	710	1242	487	2096	4013.29	5261	7125	6268	9040
DDB_G0267638	NC_007087.3	464992	474506	+	9515	181.02	3332.41	1076.57	712.12	7248.94	4491.77	1130.73	3190.95	8004.86
DDB_G0268300	NC_007087.3	475634	475923	+	290	2	0	0	65	43	10	12	16	13
gtaE	NC_007087.3	476398	479414	-	3017	46	38	52	12	28.57	1141	296	584	808
DDB_G0267448	NC_007087.3	481685	483244	-	1560	5256	4736	4859	989	288	182	2424	1990	1509
DDB_G0267642	NC_007087.3	484012	485684	+	1673	196	206	216	110	96	28	132	134	117
rpl38	NC_007087.3	485945	486391	-	447	92882.50	73247.00	89929.00	6909.00	1308	8179	23120.50	20081	25843.00
psmB6	NC_007087.3	487456	488497	-	1042	32472.00	17440.00	19639	15292.50	3685	4470	9339.00	4176	5287.00
DDB_G0267644	NC_007087.3	488923	490112	-	1190	1241	1146	1255	1042	427.50	276	532	582	642
sec20	NC_007087.3	490625	491661	+	1037	320	212	250	482	106	50	163	296	170
DDB_G0267648	NC_007087.3	491895	494666	+	2772	286	726	381.40	371	564.90	589	274	411	671.50
ireA	NC_007087.3	495110	498317	+	3208	930	1864	1268	1385	1890	948	1276	1786	1886
DDB_G0267652	NC_007087.3	501987	503195	+	1209	8	18	37	549	236	2866	193	265	250
tgrO1	NC_007087.3	507666	510414	+	2749	0	0	6.00	852.62	811.23	343.53	609.34	367.45	342.10
tgrO2	NC_007087.3	511341	514098	+	2758	0	6	7.50	1052.14	639.26	494.53	785.70	437.04	461.86
tgrO3	NC_007087.3	515177	518377	+	3201	10	15.00	40.50	2105.26	3208.99	1651.27	2506.51	2117.54	1663.93
DDB_G0267656	NC_007087.3	518710	520050	+	1341	370	722	395	40	12	26	226	148	201
DDB_G0268492	NC_007087.3	520101	522397	-	2297	754	1377	824	750	1152	535	864	1071	1264
DDB_G0267658	NC_007087.3	523164	526205	+	3042	10	18	10	16.67	72	22	78	108.50	88
DDB_G0267660	NC_007087.3	526607	527617	-	1011	10	2	0	10	0	2	2	2	0
DDB_G0267662	NC_007087.3	527773	528777	+	1005	170.00	160	176	110	74	42	84	90	130
DDB_G0267664	NC_007087.3	529188	530978	-	1791	15696.50	5860	7447.00	29618.50	6588.50	11117.00	7318	6092	4904
gefW	NC_007087.3	533108	536707	+	3600	354	196	216	1625	2107	1654	1195	1955	1597
hspL	NC_007087.3	537016	537560	+	545	1664.00	872	1090	9034	1616	392	790	798	510
DDB_G0267670	NC_007087.3	537622	538492	-	871	619	526	505	164	122	74	314	592	484
DDB_G0267672	NC_007087.3	538843	541233	+	2391	50	16	8	6	2	2	42	22	34
DDB_G0268494	NC_007087.3	542006	544264	+	2259	54	18	10	116	70	54	86	60	86
glcS	NC_007087.3	545194	548149	+	2956	521	3946.00	2059	1040	3960.33	3030	1816.50	3917	4803
DDB_G0267676	NC_007087.3	548246	550335	-	2090	140	116	136	382	246	74	186	170	148.00
culB	NC_007087.3	551012	554227	-	3216	1663	3264	2570	1435	2226	578	1840	2670	2368
DDB_G0268496	NC_007087.3	554652	556085	-	1434	696	1986	1400	306	194	242	572	750	842
